x	y	intensity	time_series
7	-53	242	1
8	-52	247	2
9	-51	250	3
10	-51	250	4
11	-50	249	5
12	-49	250	6
13	-49	250	7
14	-49	252	8
15	-49	254	9
16	-49	254	10
17	-49	254	11
18	-49	253	12
19	-49	252	13
20	-49	251	14
21	-49	250	15
22	-49	250	16
23	-49	251	17
24	-49	252	18
25	-48	250	19
26	-48	251	20
27	-48	252	21
28	-48	251	22
29	-48	250	23
30	-48	247	24
31	-48	246	25
32	-48	247	26
33	-47	251	27
34	-47	252	28
35	-47	253	29
36	-47	254	30
37	-47	253	31
38	-47	252	32
39	-47	252	33
40	-47	252	34
41	-47	251	35
42	-46	251	36
42	-45	253	37
43	-44	253	38
43	-43	252	39
43	-42	251	40
43	-41	251	41
43	-40	249	42
42	-39	248	43
41	-38	250	44
40	-37	251	45
39	-36	251	46
38	-36	251	47
37	-35	252	48
36	-35	252	49
35	-35	252	50
34	-35	252	51
33	-35	251	52
32	-34	251	53
31	-34	251	54
30	-34	251	55
29	-34	250	56
28	-34	249	57
27	-33	249	58
26	-33	248	59
25	-33	250	60
24	-32	250	61
23	-32	251	62
22	-31	244	63
22	-30	242	64
21	-29	245	65
21	-28	249	66
20	-27	243	67
20	-26	247	68
20	-25	247	69
20	-24	246	70
21	-23	251	71
21	-22	254	72
22	-21	251	73
23	-21	251	74
24	-21	249	75
25	-21	248	76
26	-21	248	77
27	-21	250	78
28	-22	252	79
29	-22	252	80
30	-22	253	81
31	-22	254	82
32	-22	254	83
33	-22	254	84
34	-23	251	85
35	-23	253	86
36	-23	253	87
37	-24	250	88
38	-24	249	89
39	-24	249	90
40	-24	248	91
41	-24	248	92
