x	y	intensity	time_series
3	-50	244	1
4	-51	243	2
5	-52	245	3
6	-52	245	4
7	-52	246	5
8	-51	243	6
9	-51	242	7
10	-51	242	8
11	-51	245	9
12	-51	248	10
13	-51	251	11
14	-51	251	12
15	-51	249	13
16	-51	249	14
17	-51	248	15
18	-51	247	16
19	-51	246	17
20	-51	244	18
21	-51	244	19
22	-51	244	20
23	-52	247	21
24	-52	246	22
25	-51	241	23
26	-51	241	24
27	-51	242	25
28	-51	242	26
29	-51	243	27
30	-52	244	28
31	-52	244	29
32	-52	245	30
33	-52	247	31
34	-52	248	32
35	-52	245	33
36	-52	245	34
37	-52	247	35
38	-52	247	36
39	-52	246	37
40	-51	245	38
41	-50	244	39
40	-49	247	40
40	-48	247	41
40	-47	247	42
39	-46	245	43
38	-45	248	44
37	-44	253	45
36	-44	254	46
35	-43	252	47
34	-43	252	48
33	-43	252	49
32	-42	249	50
31	-42	250	51
30	-42	250	52
29	-42	250	53
28	-42	250	54
27	-41	247	55
26	-41	248	56
25	-41	249	57
24	-40	249	58
23	-39	250	59
22	-39	250	60
21	-39	251	61
20	-38	251	62
19	-38	252	63
18	-38	252	64
17	-37	253	65
16	-37	251	66
15	-37	251	67
14	-36	253	68
13	-36	253	69
12	-35	249	70
12	-34	251	71
11	-33	251	72
10	-33	251	73
9	-32	253	74
8	-31	252	75
7	-30	252	76
7	-29	251	77
7	-28	251	78
6	-27	253	79
6	-26	254	80
6	-25	253	81
6	-24	250	82
6	-23	248	83
7	-22	250	84
7	-21	251	85
7	-20	251	86
7	-19	251	87
8	-18	251	88
8	-17	251	89
9	-16	251	90
10	-15	251	91
11	-14	250	92
12	-13	249	93
13	-12	251	94
14	-11	251	95
15	-11	252	96
16	-11	252	97
17	-11	252	98
18	-11	251	99
19	-12	251	100
20	-12	250	101
21	-12	250	102
22	-13	250	103
