x	y	intensity	time_series
8	-42	252	1
9	-42	252	2
10	-42	252	3
11	-43	252	4
12	-43	251	5
13	-43	250	6
14	-44	249	7
15	-44	250	8
16	-44	251	9
17	-44	251	10
18	-44	251	11
19	-45	249	12
20	-45	250	13
21	-45	250	14
22	-45	250	15
23	-45	249	16
24	-45	249	17
25	-45	251	18
26	-46	251	19
27	-46	251	20
28	-46	251	21
29	-46	252	22
30	-46	252	23
31	-46	252	24
32	-46	252	25
33	-46	252	26
34	-46	252	27
35	-46	251	28
36	-46	251	29
37	-45	248	30
38	-45	250	31
39	-45	251	32
40	-45	252	33
41	-45	252	34
42	-45	251	35
43	-45	248	36
44	-45	247	37
45	-45	247	38
46	-45	248	39
47	-44	245	40
47	-43	245	41
47	-42	249	42
47	-41	253	43
47	-40	253	44
47	-39	251	45
46	-38	249	46
46	-37	246	47
45	-36	246	48
44	-35	247	49
43	-34	246	50
42	-34	247	51
41	-33	248	52
40	-32	250	53
39	-31	251	54
38	-30	251	55
37	-30	250	56
36	-29	252	57
35	-29	253	58
34	-28	253	59
33	-28	253	60
32	-27	253	61
31	-27	253	62
30	-27	253	63
29	-27	253	64
28	-26	250	65
27	-26	248	66
26	-25	251	67
25	-25	253	68
24	-24	253	69
23	-24	251	70
22	-24	250	71
21	-24	250	72
20	-23	251	73
19	-23	252	74
18	-22	251	75
17	-22	250	76
16	-22	250	77
15	-21	251	78
14	-21	251	79
13	-21	251	80
12	-21	251	81
11	-20	251	82
10	-19	251	83
9	-18	253	84
8	-17	252	85
8	-16	249	86
7	-15	249	87
7	-14	251	88
8	-13	253	89
8	-12	251	90
9	-11	251	91
10	-10	251	92
11	-11	253	93
12	-10	252	94
13	-10	252	95
14	-11	252	96
15	-11	251	97
16	-11	249	98
17	-11	247	99
18	-11	246	100
19	-12	248	101
20	-12	248	102
21	-12	250	103
22	-12	251	104
23	-12	252	105
24	-12	253	106
