x	y	intensity	time_series
3	-47	235	1
4	-48	238	2
5	-48	242	3
6	-49	250	4
7	-50	248	5
8	-50	248	6
9	-51	237	7
10	-51	237	8
11	-52	235	9
12	-52	237	10
13	-52	240	11
14	-53	241	12
15	-53	244	13
16	-54	241	14
17	-54	242	15
18	-55	239	16
19	-55	239	17
20	-55	240	18
21	-56	239	19
22	-56	236	20
23	-57	235	21
24	-57	235	22
25	-57	234	23
26	-57	234	24
27	-57	232	25
28	-58	219	26
29	-58	211	27
30	-59	179	28
31	-59	173	29
32	-59	163	30
33	-59	157	31
34	-59	161	32
35	-59	164	33
36	-58	192	34
36	-57	222	35
37	-56	245	36
36	-55	240	37
36	-54	239	38
36	-53	240	39
36	-52	243	40
35	-51	247	41
35	-50	244	42
34	-49	245	43
33	-48	248	44
33	-47	252	45
32	-46	247	46
31	-45	248	47
30	-44	248	48
29	-43	248	49
28	-42	251	50
27	-41	247	51
26	-40	244	52
25	-39	242	53
24	-38	246	54
23	-37	251	55
22	-36	251	56
21	-35	250	57
20	-34	251	58
19	-33	251	59
18	-33	249	60
17	-32	250	61
16	-31	253	62
15	-30	254	63
14	-29	252	64
13	-28	250	65
12	-28	250	66
11	-27	250	67
11	-26	248	68
10	-25	244	69
9	-24	247	70
9	-23	246	71
8	-22	250	72
8	-21	253	73
7	-20	249	74
7	-19	251	75
7	-18	252	76
8	-17	250	77
8	-16	248	78
9	-15	251	79
10	-14	252	80
11	-13	250	81
12	-13	250	82
13	-13	250	83
14	-13	249	84
15	-13	248	85
16	-13	247	86
17	-14	251	87
18	-14	251	88
19	-14	253	89
20	-15	251	90
21	-16	247	91
22	-16	247	92
23	-17	249	93
24	-18	251	94
25	-19	251	95
26	-20	249	96
26	-21	249	97
