x	y	intensity	time_series
14	-49	248	1
15	-49	249	2
16	-50	246	3
17	-51	244	4
18	-52	243	5
19	-52	242	6
20	-53	241	7
21	-53	241	8
22	-53	242	9
23	-53	243	10
24	-54	237	11
25	-54	238	12
26	-55	242	13
27	-55	241	14
28	-55	237	15
29	-55	233	16
30	-55	230	17
31	-56	236	18
32	-56	240	19
33	-56	239	20
34	-56	237	21
35	-56	237	22
36	-56	240	23
37	-56	240	24
38	-56	239	25
39	-55	244	26
39	-54	244	27
39	-53	242	28
39	-52	241	29
39	-51	241	30
39	-50	242	31
39	-49	243	32
39	-48	240	33
39	-47	240	34
38	-46	239	35
37	-45	239	36
37	-44	249	37
37	-43	248	38
36	-42	243	39
36	-41	243	40
35	-40	248	41
34	-39	250	42
33	-38	249	43
32	-37	245	44
31	-36	243	45
30	-35	246	46
29	-34	247	47
28	-34	246	48
27	-33	246	49
26	-32	249	50
25	-32	249	51
24	-31	250	52
23	-30	246	53
22	-29	244	54
21	-28	248	55
20	-28	247	56
19	-27	244	57
18	-26	244	58
17	-26	242	59
16	-25	246	60
15	-25	245	61
14	-24	245	62
13	-24	245	63
12	-23	244	64
11	-22	242	65
11	-21	245	66
11	-20	249	67
10	-19	250	68
10	-18	248	69
10	-17	246	70
10	-16	246	71
11	-15	246	72
12	-14	249	73
13	-14	249	74
14	-14	248	75
15	-14	248	76
16	-13	245	77
17	-13	245	78
18	-13	244	79
19	-13	243	80
20	-12	244	81
21	-12	244	82
22	-12	244	83
23	-13	245	84
24	-13	246	85
25	-13	246	86
26	-14	249	87
27	-14	248	88
28	-14	248	89
29	-14	248	90
30	-15	247	91
31	-15	247	92
