x	y	intensity	time_series
43	-58	157	1
42	-57	203	2
41	-57	213	3
40	-56	234	4
39	-55	237	5
38	-54	238	6
37	-54	238	7
36	-53	243	8
35	-53	242	9
34	-52	242	10
33	-52	242	11
32	-51	242	12
31	-51	243	13
30	-50	242	14
29	-49	239	15
28	-49	237	16
27	-48	235	17
26	-48	237	18
25	-47	241	19
24	-46	241	20
23	-45	241	21
22	-45	241	22
21	-44	240	23
20	-43	238	24
19	-42	239	25
18	-41	244	26
18	-40	245	27
17	-39	248	28
17	-38	250	29
17	-37	251	30
17	-36	249	31
16	-35	248	32
15	-34	248	33
15	-33	248	34
14	-32	250	35
13	-31	251	36
12	-30	251	37
11	-29	250	38
10	-28	249	39
9	-27	248	40
9	-26	247	41
8	-25	248	42
8	-24	251	43
7	-23	252	44
7	-22	251	45
6	-21	248	46
6	-20	244	47
6	-19	248	48
6	-18	251	49
6	-17	250	50
7	-16	248	51
7	-15	246	52
8	-14	247	53
8	-13	248	54
8	-12	249	55
9	-11	249	56
9	-10	251	57
10	-9	250	58
11	-8	251	59
12	-7	251	60
13	-6	252	61
14	-6	250	62
15	-6	250	63
16	-6	250	64
17	-6	249	65
18	-6	249	66
19	-6	248	67
20	-7	249	68
20	-8	250	69
20	-9	250	70
20	-10	250	71
21	-11	250	72
21	-12	251	73
21	-13	251	74
21	-14	249	75
