x	y	intensity	time_series
11	-50	238	1
12	-50	239	2
13	-49	247	3
14	-49	248	4
15	-49	246	5
16	-49	243	6
17	-49	244	7
18	-49	243	8
19	-49	241	9
20	-49	240	10
21	-49	241	11
22	-49	244	12
23	-49	245	13
24	-49	245	14
25	-49	245	15
26	-49	246	16
27	-49	250	17
28	-49	250	18
29	-49	247	19
30	-49	243	20
31	-49	242	21
32	-49	244	22
33	-49	244	23
34	-49	241	24
35	-49	237	25
36	-49	241	26
37	-49	245	27
38	-49	248	28
39	-49	250	29
40	-48	249	30
41	-48	247	31
42	-48	245	32
43	-48	245	33
44	-48	246	34
45	-48	247	35
46	-48	243	36
47	-48	243	37
48	-48	246	38
49	-47	247	39
50	-47	246	40
51	-46	245	41
52	-45	244	42
52	-44	244	43
52	-43	246	44
52	-42	250	45
52	-41	250	46
51	-40	247	47
51	-39	245	48
50	-38	246	49
49	-38	247	50
48	-38	246	51
47	-37	246	52
46	-37	244	53
45	-37	241	54
44	-37	242	55
43	-36	246	56
42	-36	249	57
41	-36	250	58
40	-36	250	59
39	-35	248	60
38	-35	247	61
37	-34	248	62
36	-34	249	63
35	-33	248	64
34	-33	247	65
33	-32	247	66
32	-32	246	67
31	-31	245	68
30	-31	245	69
29	-30	247	70
28	-30	248	71
27	-30	248	72
26	-30	249	73
25	-29	247	74
24	-29	247	75
23	-29	247	76
22	-28	248	77
21	-28	249	78
20	-28	250	79
19	-28	250	80
18	-28	251	81
17	-28	251	82
16	-27	249	83
15	-26	245	84
15	-25	240	85
14	-24	246	86
13	-23	249	87
12	-23	246	88
11	-23	244	89
10	-22	246	90
9	-22	247	91
