x	y	intensity	time_series
6	-44	253	1
7	-45	253	2
8	-46	252	3
9	-47	250	4
10	-48	250	5
11	-48	248	6
12	-48	246	7
13	-49	251	8
14	-50	251	9
15	-50	249	10
16	-50	246	11
17	-51	241	12
18	-51	239	13
19	-51	238	14
20	-52	240	15
21	-52	240	16
22	-52	240	17
23	-53	244	18
24	-54	247	19
25	-54	247	20
26	-54	248	21
27	-54	249	22
28	-55	250	23
29	-55	249	24
30	-55	249	25
31	-55	249	26
32	-55	250	27
33	-56	246	28
34	-56	246	29
35	-56	246	30
36	-56	246	31
37	-56	246	32
38	-56	245	33
39	-56	245	34
40	-56	245	35
41	-56	244	36
42	-56	243	37
43	-56	242	38
44	-56	242	39
45	-56	241	40
46	-56	242	41
47	-55	244	42
47	-54	245	43
48	-53	246	44
48	-52	246	45
48	-51	245	46
48	-50	247	47
48	-49	248	48
48	-48	248	49
47	-47	249	50
47	-46	250	51
46	-45	251	52
45	-44	250	53
44	-43	248	54
43	-42	248	55
42	-41	250	56
41	-40	253	57
40	-39	253	58
39	-38	253	59
38	-38	253	60
37	-37	251	61
36	-37	249	62
35	-36	251	63
34	-35	253	64
33	-34	253	65
32	-33	253	66
31	-33	253	67
30	-32	253	68
29	-31	253	69
28	-31	253	70
27	-30	253	71
26	-29	253	72
25	-28	254	73
24	-27	253	74
23	-27	253	75
22	-27	252	76
21	-26	251	77
20	-25	252	78
20	-24	253	79
19	-23	253	80
18	-22	253	81
17	-22	253	82
16	-21	251	83
16	-20	249	84
16	-19	249	85
15	-18	248	86
15	-17	249	87
15	-16	252	88
15	-15	253	89
15	-14	253	90
15	-13	252	91
16	-12	251	92
16	-11	252	93
16	-10	252	94
17	-9	253	95
18	-8	253	96
19	-8	252	97
20	-8	252	98
21	-8	253	99
22	-8	253	100
23	-8	254	101
24	-8	253	102
25	-8	253	103
26	-8	252	104
27	-8	252	105
28	-9	253	106
29	-9	253	107
30	-9	253	108
