x	y	intensity	time_series
8	-46	250	1
9	-46	252	2
10	-46	253	3
11	-46	253	4
12	-46	252	5
13	-46	252	6
14	-47	251	7
15	-47	252	8
16	-47	253	9
17	-47	253	10
18	-47	252	11
19	-48	252	12
20	-48	250	13
21	-48	249	14
22	-48	248	15
23	-49	249	16
24	-49	251	17
25	-49	252	18
26	-49	253	19
27	-49	252	20
28	-49	247	21
29	-49	247	22
30	-50	248	23
31	-50	249	24
32	-50	250	25
33	-50	251	26
34	-50	251	27
35	-50	251	28
36	-51	248	29
37	-51	247	30
38	-51	249	31
39	-51	249	32
40	-51	250	33
41	-51	250	34
42	-51	248	35
43	-51	246	36
44	-51	246	37
45	-50	247	38
46	-49	246	39
46	-48	249	40
46	-47	251	41
45	-46	248	42
45	-45	247	43
45	-44	252	44
44	-43	253	45
43	-42	251	46
42	-41	250	47
41	-41	251	48
40	-40	250	49
39	-40	251	50
38	-39	248	51
37	-38	251	52
36	-37	252	53
35	-36	251	54
34	-36	251	55
33	-35	249	56
32	-35	247	57
31	-34	246	58
30	-34	248	59
29	-33	251	60
28	-32	253	61
27	-32	252	62
26	-31	253	63
25	-31	253	64
24	-30	252	65
23	-30	252	66
22	-30	252	67
21	-29	251	68
20	-29	251	69
19	-29	251	70
18	-29	251	71
17	-28	253	72
16	-28	254	73
15	-28	253	74
14	-27	253	75
13	-27	253	76
12	-26	253	77
11	-26	254	78
10	-25	254	79
10	-24	253	80
10	-23	253	81
9	-22	253	82
9	-21	250	83
9	-20	251	84
9	-19	251	85
9	-18	248	86
9	-17	245	87
10	-16	248	88
11	-16	248	89
12	-15	250	90
13	-15	249	91
14	-15	247	92
15	-14	247	93
16	-14	247	94
17	-14	249	95
18	-14	250	96
19	-14	250	97
20	-15	249	98
21	-15	250	99
22	-16	252	100
23	-16	253	101
24	-17	251	102
25	-17	250	103
26	-18	251	104
27	-19	252	105
28	-20	252	106
29	-21	250	107
