x	y	intensity	time_series
5	-50	252	1
6	-50	253	2
7	-50	254	3
8	-50	254	4
9	-50	252	5
10	-50	250	6
11	-50	249	7
12	-50	250	8
13	-50	254	9
14	-50	254	10
15	-51	254	11
16	-51	253	12
17	-51	252	13
18	-51	251	14
19	-51	250	15
20	-52	252	16
21	-52	253	17
22	-52	254	18
23	-52	248	19
24	-52	250	20
25	-52	251	21
26	-52	252	22
27	-52	252	23
28	-52	250	24
29	-52	249	25
30	-52	248	26
31	-52	248	27
32	-52	248	28
33	-52	250	29
34	-51	253	30
35	-51	254	31
36	-51	254	32
37	-50	251	33
38	-50	251	34
39	-50	251	35
40	-49	253	36
40	-48	254	37
40	-47	253	38
40	-46	248	39
40	-45	244	40
40	-44	246	41
39	-43	250	42
39	-42	251	43
38	-41	251	44
37	-40	250	45
36	-39	248	46
35	-39	247	47
34	-38	250	48
33	-37	253	49
32	-36	253	50
31	-36	252	51
30	-36	252	52
29	-35	252	53
28	-34	251	54
27	-34	251	55
26	-33	249	56
25	-33	248	57
24	-32	246	58
23	-32	246	59
22	-31	250	60
21	-31	251	61
20	-30	249	62
19	-30	248	63
18	-29	247	64
17	-29	246	65
16	-28	247	66
15	-27	252	67
14	-27	253	68
13	-26	254	69
12	-25	251	70
11	-24	248	71
10	-23	251	72
10	-22	252	73
9	-21	251	74
9	-20	250	75
9	-19	251	76
8	-18	254	77
9	-17	252	78
10	-16	252	79
11	-16	254	80
12	-16	252	81
13	-17	252	82
14	-17	252	83
