x	y	intensity	time_series
38	-50	241	1
37	-50	241	2
36	-50	242	3
35	-50	241	4
34	-50	240	5
33	-49	240	6
32	-49	239	7
31	-49	238	8
30	-48	242	9
29	-48	241	10
28	-48	242	11
27	-47	240	12
26	-47	241	13
25	-46	240	14
24	-46	242	15
23	-46	242	16
22	-45	244	17
21	-45	244	18
20	-45	244	19
19	-44	248	20
18	-44	249	21
17	-44	250	22
16	-43	249	23
15	-43	249	24
14	-43	251	25
13	-43	250	26
12	-43	249	27
12	-42	250	28
12	-41	251	29
11	-40	252	30
11	-39	252	31
10	-38	251	32
10	-37	250	33
9	-36	250	34
8	-35	249	35
7	-34	248	36
6	-34	247	37
5	-33	246	38
5	-32	248	39
4	-31	251	40
4	-30	253	41
4	-29	251	42
4	-28	251	43
5	-27	251	44
5	-26	250	45
5	-25	251	46
6	-24	251	47
6	-23	250	48
7	-22	250	49
8	-21	250	50
9	-20	248	51
10	-19	250	52
11	-19	249	53
12	-18	249	54
13	-18	247	55
14	-18	244	56
15	-19	248	57
16	-19	248	58
17	-19	248	59
18	-19	248	60
19	-19	249	61
20	-19	249	62
21	-19	250	63
22	-20	251	64
22	-21	251	65
23	-22	248	66
24	-23	246	67
24	-24	246	68
25	-25	246	69
25	-26	247	70
25	-27	250	71
25	-28	252	72
