x	y	intensity	time_series
2	-59	127	1
3	-59	131	2
4	-59	129	3
5	-59	123	4
6	-59	117	5
7	-60	133	6
8	-60	135	7
9	-60	136	8
10	-60	132	9
11	-60	125	10
12	-60	131	11
13	-60	134	12
14	-60	135	13
15	-60	129	14
16	-60	126	15
17	-60	127	16
18	-60	131	17
19	-60	134	18
20	-60	133	19
21	-60	130	20
22	-61	135	21
23	-61	134	22
24	-61	134	23
25	-61	136	24
26	-61	138	25
27	-61	135	26
28	-61	130	27
29	-61	128	28
30	-61	135	29
31	-61	132	30
32	-61	127	31
33	-61	130	32
34	-61	138	33
35	-61	146	34
36	-60	151	35
37	-60	146	36
38	-60	139	37
39	-59	150	38
40	-58	175	39
40	-57	205	40
40	-56	233	41
40	-55	250	42
40	-54	246	43
40	-53	243	44
39	-52	248	45
39	-51	252	46
39	-50	250	47
38	-49	248	48
38	-48	247	49
37	-47	249	50
37	-46	252	51
36	-45	253	52
35	-44	251	53
34	-43	251	54
33	-43	250	55
32	-42	252	56
31	-41	254	57
30	-41	254	58
29	-40	250	59
28	-39	248	60
27	-38	249	61
26	-37	252	62
25	-37	252	63
24	-36	253	64
23	-36	253	65
22	-35	250	66
21	-34	250	67
20	-33	251	68
19	-32	251	69
18	-32	251	70
17	-31	252	71
16	-30	252	72
16	-29	252	73
15	-28	253	74
15	-27	253	75
14	-26	252	76
14	-25	249	77
14	-24	247	78
14	-23	249	79
15	-22	251	80
15	-21	250	81
16	-20	247	82
17	-19	244	83
18	-19	246	84
19	-18	252	85
20	-18	253	86
21	-18	251	87
22	-19	249	88
23	-19	248	89
24	-19	247	90
25	-19	246	91
26	-19	247	92
27	-20	246	93
28	-20	247	94
29	-21	249	95
30	-22	253	96
31	-23	251	97
32	-24	248	98
33	-25	250	99
