x	y	intensity	time_series
10	-68	251	1
11	-67	251	2
12	-66	251	3
13	-66	252	4
14	-66	247	5
15	-66	247	6
16	-65	245	7
17	-65	246	8
18	-64	248	9
19	-65	247	10
20	-65	248	11
21	-65	250	12
22	-65	251	13
23	-65	252	14
24	-65	249	15
25	-65	250	16
26	-65	250	17
27	-65	250	18
28	-65	249	19
29	-65	248	20
30	-65	248	21
31	-65	249	22
32	-65	250	23
33	-65	250	24
34	-65	250	25
35	-65	250	26
36	-65	251	27
37	-65	252	28
38	-65	252	29
39	-65	252	30
40	-65	251	31
41	-65	251	32
42	-65	251	33
43	-65	252	34
44	-65	251	35
45	-65	250	36
46	-65	250	37
47	-65	248	38
48	-65	248	39
49	-65	248	40
50	-65	249	41
51	-65	250	42
52	-65	250	43
53	-65	250	44
54	-65	250	45
55	-65	250	46
56	-65	249	47
57	-65	248	48
58	-65	249	49
59	-65	250	50
60	-65	253	51
61	-65	252	52
62	-65	244	53
63	-65	232	54
64	-64	235	55
65	-64	211	56
66	-64	195	57
67	-64	185	58
68	-64	185	59
69	-63	184	60
69	-62	173	61
70	-61	176	62
70	-60	171	63
70	-59	163	64
69	-58	159	65
69	-57	160	66
69	-56	167	67
68	-55	170	68
67	-54	166	69
66	-53	167	70
65	-52	203	71
65	-51	232	72
64	-50	245	73
63	-50	243	74
62	-49	249	75
61	-48	247	76
60	-48	246	77
59	-47	250	78
58	-47	250	79
57	-46	252	80
56	-46	252	81
55	-46	250	82
54	-45	251	83
53	-44	251	84
52	-44	250	85
51	-43	251	86
50	-43	252	87
49	-42	251	88
48	-41	250	89
47	-41	250	90
46	-41	251	91
45	-41	252	92
44	-40	249	93
43	-40	249	94
42	-40	249	95
41	-39	247	96
40	-39	248	97
39	-38	250	98
38	-38	250	99
37	-38	249	100
36	-37	250	101
35	-37	250	102
34	-37	250	103
33	-37	247	104
32	-36	249	105
31	-36	251	106
30	-35	252	107
29	-35	252	108
28	-34	248	109
27	-34	246	110
26	-34	246	111
25	-33	250	112
24	-33	250	113
23	-33	249	114
22	-32	248	115
21	-32	249	116
20	-32	249	117
19	-31	249	118
18	-31	249	119
17	-31	248	120
16	-31	248	121
15	-30	244	122
14	-29	247	123
13	-29	247	124
12	-29	247	125
11	-28	248	126
10	-27	250	127
9	-26	251	128
9	-25	250	129
8	-24	249	130
8	-23	251	131
