x	y	intensity	time_series
16	-54	241	1
17	-54	241	2
18	-54	240	3
19	-54	240	4
20	-54	241	5
21	-55	239	6
22	-55	240	7
23	-55	240	8
24	-56	237	9
25	-56	235	10
26	-56	236	11
27	-56	237	12
28	-56	238	13
29	-57	233	14
30	-57	233	15
31	-57	232	16
32	-58	217	17
33	-58	217	18
34	-58	204	19
35	-59	137	20
36	-59	123	21
37	-59	128	22
38	-60	137	23
39	-60	126	24
40	-60	117	25
41	-60	116	26
42	-60	119	27
43	-60	112	28
44	-60	113	29
45	-61	131	30
46	-61	141	31
47	-61	152	32
48	-61	160	33
49	-61	166	34
50	-62	198	35
51	-62	203	36
52	-62	209	37
53	-62	211	38
54	-62	211	39
55	-62	206	40
56	-62	202	41
57	-62	201	42
58	-62	202	43
59	-62	205	44
60	-62	206	45
61	-62	204	46
62	-62	201	47
63	-62	196	48
64	-62	189	49
65	-61	167	50
66	-61	165	51
67	-61	163	52
68	-61	161	53
69	-61	161	54
70	-60	163	55
71	-60	157	56
72	-60	153	57
73	-59	154	58
74	-58	185	59
74	-57	210	60
74	-56	233	61
74	-55	242	62
74	-54	237	63
74	-53	241	64
74	-52	247	65
73	-51	250	66
72	-50	249	67
71	-49	247	68
70	-49	247	69
69	-48	244	70
68	-48	244	71
67	-47	243	72
66	-47	243	73
65	-46	242	74
64	-46	241	75
63	-46	241	76
62	-45	246	77
61	-45	246	78
60	-45	247	79
59	-44	250	80
58	-44	252	81
57	-44	252	82
56	-43	252	83
55	-43	250	84
54	-43	247	85
53	-43	247	86
52	-42	248	87
51	-41	244	88
50	-41	243	89
49	-41	243	90
48	-41	244	91
47	-40	243	92
46	-40	244	93
45	-40	244	94
44	-39	249	95
43	-39	250	96
42	-38	251	97
41	-38	251	98
40	-38	251	99
39	-37	252	100
38	-37	252	101
37	-37	251	102
36	-37	251	103
35	-36	251	104
34	-35	251	105
33	-35	252	106
32	-35	252	107
31	-35	251	108
30	-34	252	109
29	-34	251	110
28	-34	251	111
27	-34	252	112
26	-33	248	113
25	-33	248	114
24	-33	247	115
23	-32	246	116
22	-31	250	117
21	-31	250	118
20	-30	251	119
19	-30	251	120
18	-29	249	121
17	-29	249	122
16	-28	250	123
15	-28	250	124
14	-27	248	125
13	-27	245	126
12	-26	250	127
11	-26	251	128
10	-25	252	129
9	-24	249	130
8	-23	244	131
8	-22	247	132
8	-21	251	133
7	-20	252	134
7	-19	248	135
7	-18	249	136
6	-17	250	137
6	-16	249	138
6	-15	247	139
7	-14	249	140
7	-13	250	141
7	-12	251	142
8	-11	250	143
8	-10	246	144
9	-9	246	145
10	-8	250	146
11	-8	251	147
12	-8	252	148
13	-7	251	149
14	-7	248	150
15	-6	245	151
16	-6	245	152
17	-6	244	153
18	-6	245	154
19	-6	246	155
20	-6	248	156
21	-6	249	157
22	-6	247	158
23	-7	249	159
24	-7	249	160
25	-7	249	161
26	-7	250	162
27	-7	251	163
28	-8	249	164
29	-8	247	165
30	-8	247	166
31	-8	247	167
32	-9	250	168
33	-9	250	169
34	-9	251	170
35	-9	252	171
36	-10	250	172
37	-11	245	173
38	-11	245	174
39	-12	245	175
40	-13	250	176
41	-14	253	177
42	-15	252	178
43	-15	251	179
44	-16	250	180
45	-17	249	181
