x	y	intensity	time_series
13	-52	248	1
14	-52	248	2
15	-52	247	3
16	-52	246	4
17	-51	250	5
18	-51	249	6
19	-51	248	7
20	-51	249	8
21	-51	249	9
22	-51	246	10
23	-50	244	11
24	-50	242	12
25	-49	245	13
25	-48	248	14
25	-47	248	15
25	-46	248	16
25	-45	251	17
24	-44	252	18
24	-43	252	19
23	-42	248	20
22	-41	246	21
21	-40	246	22
20	-39	244	23
19	-39	243	24
18	-38	238	25
17	-37	248	26
16	-36	248	27
15	-36	248	28
14	-35	250	29
13	-34	251	30
12	-33	247	31
11	-33	246	32
10	-32	241	33
9	-31	241	34
8	-30	246	35
7	-29	250	36
6	-28	245	37
5	-27	246	38
5	-26	247	39
4	-25	245	40
4	-24	243	41
4	-23	246	42
4	-22	245	43
5	-21	243	44
6	-20	245	45
7	-19	247	46
8	-19	242	47
9	-19	238	48
10	-18	245	49
11	-19	238	50
12	-19	242	51
13	-19	246	52
14	-19	248	53
15	-19	249	54
16	-19	249	55
17	-19	248	56
18	-20	251	57
19	-20	250	58
20	-20	249	59
