x	y	intensity	time_series
28	-64	184	1
27	-64	177	2
26	-63	142	3
25	-63	153	4
24	-63	157	5
23	-63	159	6
22	-62	204	7
21	-62	198	8
20	-61	218	9
19	-61	217	10
18	-60	227	11
17	-60	231	12
16	-59	234	13
15	-59	232	14
14	-59	231	15
13	-58	229	16
12	-57	230	17
11	-56	242	18
10	-56	242	19
9	-55	241	20
8	-55	241	21
7	-54	244	22
6	-53	243	23
5	-53	242	24
4	-52	245	25
3	-51	250	26
2	-50	252	27
2	-49	251	28
2	-48	243	29
2	-47	242	30
2	-46	241	31
2	-45	246	32
2	-44	248	33
3	-43	249	34
4	-43	250	35
5	-43	250	36
6	-43	251	37
7	-43	251	38
8	-43	252	39
9	-43	251	40
10	-44	250	41
11	-44	249	42
12	-45	246	43
13	-45	251	44
14	-46	252	45
15	-46	253	46
16	-47	251	47
17	-47	249	48
18	-47	248	49
19	-47	249	50
20	-48	243	51
21	-48	243	52
22	-49	242	53
23	-50	244	54
24	-50	245	55
25	-50	246	56
26	-50	247	57
27	-51	245	58
28	-51	245	59
29	-51	245	60
30	-52	249	61
31	-53	246	62
32	-53	246	63
33	-54	243	64
34	-54	245	65
35	-55	244	66
36	-56	245	67
37	-56	247	68
38	-57	243	69
39	-57	243	70
40	-58	250	71
41	-59	246	72
42	-59	245	73
43	-59	244	74
44	-60	240	75
45	-60	233	76
46	-60	229	77
47	-60	228	78
48	-61	207	79
49	-61	201	80
50	-61	186	81
51	-62	162	82
52	-62	158	83
53	-62	157	84
54	-63	157	85
55	-63	152	86
56	-63	148	87
57	-63	148	88
58	-63	153	89
59	-63	157	90
60	-62	163	91
61	-61	173	92
61	-60	183	93
61	-59	202	94
61	-58	228	95
61	-57	245	96
60	-56	246	97
60	-55	246	98
60	-54	247	99
60	-53	248	100
59	-52	249	101
59	-51	249	102
59	-50	248	103
58	-49	245	104
57	-48	243	105
57	-47	242	106
56	-46	244	107
55	-45	246	108
54	-44	251	109
54	-43	247	110
53	-42	246	111
52	-41	248	112
51	-40	250	113
51	-39	250	114
50	-38	249	115
49	-37	250	116
48	-36	249	117
47	-35	251	118
47	-34	250	119
46	-33	250	120
45	-33	250	121
44	-32	247	122
43	-32	250	123
42	-31	247	124
42	-30	252	125
41	-29	254	126
41	-28	252	127
40	-27	249	128
40	-26	248	129
39	-25	251	130
38	-25	252	131
37	-24	253	132
36	-23	252	133
35	-22	251	134
34	-21	248	135
34	-20	247	136
34	-19	247	137
34	-18	249	138
33	-17	250	139
33	-16	252	140
33	-15	252	141
33	-14	252	142
33	-13	252	143
34	-12	246	144
35	-12	245	145
36	-13	252	146
37	-13	253	147
38	-14	250	148
39	-14	247	149
40	-15	245	150
41	-16	246	151
41	-17	249	152
41	-18	249	153
42	-19	247	154
42	-20	247	155
42	-21	249	156
42	-22	249	157
41	-23	248	158
40	-24	249	159
