x	y	intensity	time_series
1	-49	242	1
2	-48	243	2
3	-47	241	3
4	-47	240	4
5	-47	239	5
6	-47	238	6
7	-48	242	7
8	-48	242	8
9	-48	243	9
10	-49	246	10
11	-49	245	11
12	-50	242	12
13	-50	241	13
14	-50	240	14
15	-51	245	15
16	-51	246	16
17	-52	248	17
18	-53	240	18
19	-53	238	19
20	-53	237	20
21	-53	238	21
22	-53	238	22
23	-54	239	23
24	-54	238	24
25	-54	238	25
26	-55	241	26
27	-55	242	27
28	-56	242	28
29	-56	242	29
30	-56	242	30
31	-56	240	31
32	-56	238	32
33	-57	235	33
34	-57	235	34
35	-57	236	35
36	-57	235	36
37	-57	236	37
38	-57	237	38
39	-57	241	39
40	-58	220	40
41	-58	216	41
42	-58	212	42
43	-58	207	43
44	-59	180	44
45	-59	177	45
46	-59	175	46
47	-59	175	47
48	-59	176	48
49	-59	177	49
50	-59	177	50
51	-59	176	51
52	-59	177	52
53	-59	172	53
54	-59	168	54
55	-59	167	55
56	-58	186	56
57	-57	206	57
57	-56	225	58
56	-55	237	59
56	-54	238	60
56	-53	236	61
56	-52	236	62
55	-51	229	63
54	-50	230	64
53	-49	234	65
52	-48	237	66
51	-48	236	67
50	-48	234	68
49	-47	231	69
48	-47	232	70
47	-47	233	71
46	-46	230	72
45	-45	229	73
44	-44	230	74
43	-44	234	75
42	-43	239	76
41	-43	240	77
40	-42	239	78
39	-42	237	79
38	-41	241	80
37	-41	245	81
36	-41	247	82
35	-40	248	83
34	-40	247	84
33	-39	245	85
32	-39	247	86
31	-38	242	87
30	-38	243	88
29	-37	242	89
28	-37	243	90
27	-37	245	91
26	-37	246	92
25	-36	246	93
24	-36	245	94
23	-36	244	95
22	-35	244	96
21	-35	243	97
20	-35	242	98
19	-35	246	99
18	-34	247	100
17	-33	244	101
16	-33	243	102
15	-32	244	103
14	-32	245	104
13	-31	247	105
12	-31	244	106
11	-30	242	107
10	-29	243	108
10	-28	246	109
9	-27	249	110
9	-26	248	111
9	-25	246	112
9	-24	245	113
9	-23	244	114
9	-22	246	115
9	-21	248	116
10	-20	246	117
11	-19	248	118
12	-18	249	119
13	-17	249	120
14	-17	249	121
15	-17	249	122
16	-17	249	123
17	-17	250	124
18	-17	252	125
19	-17	252	126
20	-17	250	127
21	-17	248	128
22	-17	247	129
23	-18	244	130
24	-18	244	131
25	-18	245	132
26	-19	247	133
27	-19	247	134
28	-20	248	135
29	-21	251	136
30	-21	253	137
31	-22	253	138
32	-22	253	139
