x	y	intensity	time_series
8	-40	250	1
8	-41	251	2
9	-42	247	3
9	-43	243	4
10	-44	240	5
11	-45	240	6
12	-46	241	7
13	-47	239	8
14	-47	243	9
15	-48	243	10
16	-48	242	11
17	-49	241	12
18	-49	244	13
19	-50	242	14
20	-50	240	15
21	-51	234	16
22	-51	234	17
23	-51	236	18
24	-52	234	19
25	-52	234	20
26	-52	236	21
27	-53	238	22
28	-53	239	23
29	-53	240	24
30	-54	240	25
31	-54	240	26
32	-55	239	27
33	-55	240	28
34	-55	241	29
35	-55	244	30
36	-55	241	31
37	-56	235	32
38	-56	234	33
39	-56	234	34
40	-56	235	35
41	-56	236	36
42	-56	235	37
43	-56	234	38
44	-56	233	39
45	-56	236	40
46	-56	236	41
47	-56	236	42
48	-56	236	43
49	-56	234	44
50	-56	233	45
51	-56	231	46
52	-56	230	47
53	-56	230	48
54	-57	223	49
55	-56	233	50
56	-56	233	51
57	-56	232	52
58	-56	231	53
59	-56	229	54
60	-55	230	55
61	-55	230	56
62	-54	232	57
63	-53	233	58
64	-52	232	59
64	-51	235	60
64	-50	237	61
64	-49	238	62
64	-48	241	63
63	-47	247	64
63	-46	246	65
62	-45	243	66
61	-44	244	67
60	-44	245	68
59	-43	247	69
58	-43	246	70
57	-42	246	71
56	-41	248	72
55	-41	250	73
54	-40	249	74
53	-39	247	75
52	-39	246	76
51	-38	242	77
50	-38	241	78
49	-38	241	79
48	-37	245	80
47	-36	244	81
46	-35	241	82
45	-35	242	83
44	-35	244	84
43	-34	246	85
42	-33	248	86
41	-33	248	87
40	-33	249	88
39	-32	248	89
38	-31	246	90
37	-31	246	91
36	-31	244	92
35	-30	246	93
34	-29	246	94
33	-29	245	95
32	-28	247	96
31	-28	245	97
30	-27	248	98
29	-27	249	99
28	-26	248	100
27	-26	247	101
26	-26	247	102
25	-26	248	103
24	-25	247	104
23	-25	246	105
22	-24	245	106
21	-24	245	107
20	-23	250	108
19	-23	251	109
18	-22	253	110
17	-21	252	111
16	-20	251	112
15	-19	249	113
15	-18	245	114
15	-17	247	115
15	-16	248	116
15	-15	248	117
16	-14	241	118
16	-13	240	119
16	-12	240	120
17	-11	242	121
18	-11	246	122
19	-10	246	123
20	-10	244	124
21	-9	243	125
22	-9	246	126
23	-9	251	127
24	-9	251	128
25	-9	250	129
26	-9	252	130
27	-9	252	131
28	-9	251	132
29	-9	249	133
30	-9	248	134
31	-9	248	135
32	-9	246	136
33	-9	242	137
34	-9	241	138
35	-10	247	139
36	-10	247	140
37	-10	248	141
38	-11	250	142
39	-11	250	143
40	-12	248	144
41	-13	245	145
42	-14	241	146
42	-15	241	147
43	-16	244	148
44	-17	247	149
45	-18	249	150
45	-19	248	151
46	-20	248	152
46	-21	247	153
