x	y	intensity	time_series
7	-60	125	1
8	-60	130	2
9	-60	126	3
10	-60	121	4
11	-59	129	5
12	-58	152	6
13	-57	204	7
14	-57	223	8
15	-57	235	9
16	-57	234	10
17	-56	238	11
18	-56	236	12
19	-56	235	13
20	-56	233	14
21	-56	231	15
22	-56	232	16
23	-56	234	17
24	-56	234	18
25	-55	233	19
26	-55	233	20
27	-55	232	21
28	-55	230	22
29	-55	230	23
30	-55	233	24
31	-55	236	25
32	-55	235	26
33	-55	234	27
34	-55	234	28
35	-56	235	29
36	-56	233	30
37	-56	233	31
38	-56	235	32
39	-56	239	33
40	-56	243	34
41	-56	245	35
42	-56	246	36
43	-56	243	37
44	-56	237	38
45	-56	236	39
46	-56	237	40
47	-55	239	41
48	-55	239	42
49	-55	242	43
50	-55	245	44
51	-54	246	45
52	-53	248	46
53	-52	242	47
52	-51	243	48
51	-50	239	49
50	-49	239	50
49	-48	242	51
48	-47	244	52
47	-47	246	53
46	-47	246	54
45	-46	245	55
44	-46	245	56
43	-46	245	57
42	-46	243	58
41	-45	240	59
40	-45	237	60
39	-45	235	61
38	-44	236	62
37	-44	235	63
36	-44	233	64
35	-44	230	65
34	-44	229	66
33	-43	235	67
32	-43	242	68
31	-43	246	69
30	-43	244	70
29	-42	243	71
28	-42	242	72
27	-42	243	73
26	-42	243	74
25	-41	241	75
24	-41	241	76
23	-41	241	77
22	-41	242	78
21	-41	245	79
20	-41	246	80
19	-40	246	81
18	-40	247	82
17	-39	247	83
16	-39	248	84
15	-39	246	85
14	-39	245	86
13	-38	247	87
12	-38	247	88
11	-38	252	89
10	-38	250	90
9	-37	248	91
8	-36	247	92
7	-35	246	93
6	-34	241	94
6	-33	237	95
6	-32	241	96
6	-31	243	97
5	-30	242	98
6	-29	241	99
6	-28	243	100
6	-27	244	101
7	-26	244	102
8	-26	245	103
9	-25	246	104
10	-25	246	105
11	-25	246	106
12	-24	246	107
13	-24	246	108
14	-24	247	109
15	-24	247	110
16	-24	248	111
17	-24	248	112
18	-23	250	113
19	-24	248	114
20	-24	249	115
21	-24	249	116
22	-25	246	117
23	-25	246	118
24	-25	246	119
25	-26	250	120
26	-26	248	121
27	-26	247	122
28	-27	248	123
29	-27	248	124
30	-28	251	125
31	-28	251	126
32	-29	250	127
33	-30	249	128
34	-31	249	129
34	-32	249	130
35	-33	251	131
34	-34	248	132
34	-35	245	133
