x	y	intensity	time_series
8	-45	251	1
9	-45	251	2
10	-45	250	3
11	-45	250	4
12	-45	249	5
13	-45	248	6
14	-45	248	7
15	-45	249	8
16	-45	250	9
17	-45	251	10
18	-45	251	11
19	-45	250	12
20	-45	248	13
21	-45	248	14
22	-46	247	15
23	-46	244	16
24	-46	242	17
25	-46	241	18
26	-46	242	19
27	-46	244	20
28	-45	249	21
28	-44	249	22
28	-43	240	23
28	-42	235	24
28	-41	239	25
27	-40	246	26
27	-39	246	27
27	-38	244	28
26	-37	240	29
25	-36	243	30
24	-35	249	31
23	-34	249	32
22	-33	247	33
21	-32	244	34
20	-32	243	35
19	-31	244	36
18	-30	242	37
17	-29	243	38
16	-28	243	39
15	-27	242	40
14	-26	244	41
13	-25	247	42
12	-24	246	43
11	-23	244	44
11	-22	241	45
10	-21	245	46
9	-20	250	47
9	-19	250	48
9	-18	250	49
9	-17	250	50
9	-16	247	51
9	-15	243	52
9	-14	243	53
10	-13	247	54
11	-12	248	55
12	-11	248	56
13	-10	244	57
14	-10	245	58
15	-9	246	59
16	-9	247	60
17	-8	249	61
18	-8	248	62
19	-8	247	63
20	-8	245	64
21	-8	244	65
22	-8	246	66
23	-8	247	67
24	-8	247	68
25	-7	250	69
26	-7	250	70
27	-7	250	71
28	-7	250	72
29	-7	249	73
30	-7	248	74
31	-7	246	75
32	-7	240	76
