x	y	intensity	time_series
7	-46	254	1
8	-46	254	2
9	-47	253	3
10	-47	254	4
11	-48	252	5
12	-48	253	6
13	-48	253	7
14	-49	254	8
15	-50	254	9
16	-51	253	10
17	-51	253	11
18	-51	253	12
19	-51	253	13
20	-52	251	14
21	-52	251	15
22	-52	250	16
23	-53	252	17
24	-54	254	18
25	-54	253	19
26	-54	252	20
27	-54	249	21
28	-54	251	22
29	-55	253	23
30	-55	253	24
31	-55	253	25
32	-55	253	26
33	-55	253	27
34	-55	252	28
35	-55	252	29
36	-55	252	30
37	-56	251	31
38	-56	248	32
39	-56	245	33
40	-56	246	34
41	-56	248	35
42	-56	251	36
43	-56	253	37
44	-56	253	38
45	-56	253	39
46	-56	252	40
47	-56	250	41
48	-55	247	42
48	-54	251	43
48	-53	253	44
49	-52	249	45
49	-51	249	46
48	-50	252	47
48	-49	254	48
47	-48	250	49
46	-47	254	50
45	-46	254	51
44	-46	254	52
43	-45	254	53
42	-44	253	54
41	-43	254	55
40	-43	254	56
39	-43	254	57
38	-42	254	58
37	-41	254	59
36	-41	254	60
35	-41	254	61
34	-40	251	62
33	-40	251	63
32	-39	252	64
31	-38	250	65
30	-38	251	66
29	-37	252	67
28	-37	253	68
27	-37	254	69
26	-36	254	70
25	-36	254	71
24	-35	254	72
23	-34	254	73
22	-34	254	74
21	-33	254	75
20	-33	254	76
19	-32	253	77
18	-32	253	78
17	-31	253	79
16	-31	254	80
15	-30	253	81
14	-29	254	82
13	-28	253	83
12	-27	253	84
11	-27	253	85
10	-26	252	86
9	-25	251	87
8	-24	252	88
7	-23	253	89
7	-22	253	90
7	-21	253	91
7	-20	252	92
7	-19	252	93
6	-18	253	94
6	-17	252	95
6	-16	248	96
7	-15	250	97
7	-14	253	98
7	-13	252	99
7	-12	252	100
8	-11	252	101
9	-11	253	102
10	-10	252	103
11	-9	253	104
12	-9	254	105
13	-9	254	106
14	-8	253	107
15	-7	253	108
16	-7	253	109
17	-7	253	110
18	-7	253	111
19	-7	253	112
20	-7	253	113
21	-7	253	114
22	-7	254	115
