x	y	intensity	time_series
7	-40	246	1
8	-40	248	2
9	-41	252	3
10	-42	253	4
11	-42	253	5
12	-42	253	6
13	-42	253	7
14	-42	253	8
15	-42	253	9
16	-42	253	10
17	-42	253	11
18	-42	250	12
19	-43	251	13
20	-43	251	14
21	-43	251	15
22	-42	250	16
23	-42	250	17
24	-42	252	18
25	-42	253	19
26	-42	253	20
27	-42	253	21
28	-42	251	22
29	-42	252	23
30	-43	253	24
31	-43	253	25
32	-43	251	26
33	-43	248	27
34	-44	245	28
35	-44	245	29
36	-44	248	30
37	-45	253	31
38	-45	253	32
39	-45	251	33
40	-45	251	34
41	-46	251	35
42	-46	251	36
43	-46	251	37
44	-46	250	38
45	-46	251	39
46	-46	251	40
47	-47	254	41
48	-47	254	42
49	-47	251	43
50	-47	251	44
51	-48	250	45
52	-48	251	46
53	-48	252	47
54	-48	252	48
55	-48	252	49
56	-48	253	50
57	-48	254	51
58	-48	254	52
59	-48	254	53
60	-48	253	54
61	-47	250	55
62	-46	251	56
62	-45	253	57
61	-44	253	58
61	-43	251	59
60	-42	251	60
60	-41	249	61
59	-40	248	62
58	-39	246	63
57	-39	247	64
56	-39	249	65
55	-38	254	66
54	-37	254	67
53	-36	253	68
52	-36	252	69
51	-35	251	70
50	-34	249	71
49	-34	249	72
48	-33	251	73
47	-32	253	74
46	-32	253	75
45	-31	252	76
44	-30	251	77
43	-29	250	78
42	-28	250	79
41	-27	250	80
41	-26	250	81
40	-25	248	82
39	-24	247	83
38	-23	250	84
38	-22	253	85
38	-21	253	86
38	-20	253	87
38	-19	253	88
38	-18	250	89
38	-17	248	90
38	-16	251	91
38	-15	252	92
39	-14	253	93
39	-13	253	94
40	-12	253	95
41	-11	252	96
42	-10	250	97
43	-9	250	98
44	-9	250	99
45	-8	247	100
46	-7	245	101
47	-7	247	102
48	-7	248	103
49	-6	245	104
50	-6	244	105
51	-6	245	106
52	-6	246	107
53	-6	248	108
54	-6	251	109
55	-6	252	110
56	-6	252	111
57	-6	252	112
58	-6	251	113
59	-6	253	114
60	-6	253	115
61	-7	251	116
62	-8	243	117
63	-8	242	118
64	-8	243	119
65	-8	244	120
66	-9	250	121
67	-9	250	122
68	-9	250	123
69	-10	251	124
70	-11	247	125
71	-11	246	126
72	-11	247	127
73	-12	248	128
74	-12	250	129
75	-13	251	130
75	-14	251	131
76	-15	251	132
77	-16	253	133
78	-17	253	134
79	-18	251	135
80	-19	250	136
