x	y	intensity	time_series
6	-55	238	1
7	-55	238	2
8	-55	238	3
9	-55	238	4
10	-55	238	5
11	-56	238	6
12	-56	238	7
13	-56	238	8
14	-56	237	9
15	-56	231	10
16	-56	236	11
17	-56	235	12
18	-57	229	13
19	-57	226	14
20	-57	225	15
21	-57	228	16
22	-57	234	17
23	-57	235	18
24	-57	235	19
25	-57	235	20
26	-57	235	21
27	-57	230	22
28	-57	231	23
29	-57	236	24
30	-57	240	25
31	-57	234	26
32	-57	231	27
33	-57	233	28
34	-57	236	29
35	-57	239	30
36	-57	239	31
37	-57	235	32
38	-57	231	33
39	-57	228	34
40	-57	228	35
41	-56	241	36
42	-56	241	37
43	-56	240	38
44	-56	238	39
45	-56	235	40
46	-56	234	41
47	-56	234	42
48	-56	234	43
49	-56	235	44
50	-56	235	45
51	-56	235	46
52	-56	234	47
53	-56	233	48
54	-55	236	49
55	-54	242	50
56	-53	244	51
56	-52	241	52
57	-51	240	53
56	-50	240	54
55	-49	239	55
55	-48	236	56
54	-47	236	57
53	-47	239	58
52	-47	241	59
51	-47	244	60
50	-46	245	61
49	-46	247	62
48	-46	248	63
47	-45	246	64
46	-45	244	65
45	-45	243	66
44	-45	242	67
43	-45	244	68
42	-45	246	69
41	-44	242	70
40	-44	242	71
39	-44	241	72
38	-43	243	73
37	-43	243	74
36	-43	243	75
35	-43	243	76
34	-43	243	77
33	-42	244	78
32	-42	245	79
31	-42	245	80
30	-41	243	81
29	-40	242	82
28	-40	244	83
27	-40	245	84
26	-39	244	85
25	-39	245	86
24	-38	238	87
23	-37	236	88
23	-36	236	89
22	-35	248	90
22	-34	244	91
22	-33	239	92
22	-32	237	93
22	-31	237	94
22	-30	234	95
23	-29	227	96
24	-28	224	97
25	-27	225	98
26	-27	225	99
27	-26	231	100
28	-25	231	101
29	-24	231	102
30	-23	233	103
31	-23	236	104
32	-22	235	105
33	-21	237	106
34	-21	236	107
35	-20	239	108
36	-19	240	109
37	-19	240	110
38	-19	241	111
39	-19	242	112
40	-18	244	113
41	-18	242	114
42	-18	241	115
43	-18	241	116
44	-18	242	117
45	-18	243	118
46	-18	244	119
47	-18	244	120
48	-18	243	121
49	-18	240	122
50	-19	236	123
51	-20	235	124
51	-21	234	125
52	-22	237	126
53	-23	235	127
54	-24	231	128
