x	y	intensity	time_series
6	-56	226	1
7	-56	235	2
8	-56	231	3
9	-56	230	4
10	-57	213	5
11	-57	210	6
12	-57	220	7
13	-57	221	8
14	-58	223	9
15	-58	222	10
16	-59	217	11
17	-59	217	12
18	-59	213	13
19	-59	208	14
20	-60	178	15
21	-60	170	16
22	-60	166	17
23	-60	159	18
24	-60	151	19
25	-60	147	20
26	-60	149	21
27	-60	151	22
28	-60	153	23
29	-59	188	24
30	-59	199	25
31	-58	216	26
31	-57	216	27
32	-56	233	28
32	-55	238	29
33	-54	240	30
33	-53	244	31
33	-52	251	32
33	-51	251	33
33	-50	251	34
33	-49	247	35
33	-48	244	36
32	-47	246	37
32	-46	247	38
31	-45	247	39
30	-44	246	40
30	-43	244	41
29	-42	242	42
28	-41	243	43
27	-40	243	44
27	-39	243	45
26	-38	243	46
25	-37	243	47
24	-36	245	48
23	-35	247	49
22	-34	243	50
22	-33	240	51
21	-32	238	52
20	-31	244	53
19	-30	243	54
18	-29	242	55
17	-28	242	56
16	-27	240	57
15	-26	235	58
14	-25	235	59
13	-24	240	60
13	-23	243	61
12	-22	240	62
11	-21	232	63
11	-20	239	64
10	-19	243	65
9	-18	246	66
8	-17	242	67
8	-16	240	68
8	-15	239	69
8	-14	241	70
7	-13	247	71
7	-12	249	72
7	-11	242	73
7	-10	245	74
8	-9	250	75
9	-8	250	76
10	-8	248	77
11	-7	248	78
