x	y	intensity	time_series
5	-47	242	1
6	-48	237	2
7	-48	238	3
8	-48	240	4
9	-48	242	5
10	-49	239	6
11	-50	235	7
12	-50	237	8
13	-50	239	9
14	-50	239	10
15	-51	239	11
16	-51	238	12
17	-51	238	13
18	-52	239	14
19	-52	239	15
20	-53	238	16
21	-53	235	17
22	-54	229	18
23	-54	229	19
24	-54	230	20
25	-54	231	21
26	-54	232	22
27	-54	232	23
28	-55	231	24
29	-55	234	25
30	-56	236	26
31	-56	235	27
32	-56	233	28
33	-56	232	29
34	-56	231	30
35	-55	233	31
36	-54	232	32
37	-54	233	33
38	-54	233	34
39	-53	233	35
40	-52	233	36
40	-51	234	37
40	-50	235	38
40	-49	234	39
40	-48	241	40
40	-47	247	41
39	-46	246	42
39	-45	239	43
38	-44	242	44
37	-43	246	45
36	-42	249	46
35	-41	247	47
34	-40	238	48
33	-40	241	49
32	-39	246	50
31	-38	247	51
30	-37	244	52
29	-36	243	53
28	-36	242	54
27	-35	242	55
26	-34	242	56
25	-33	240	57
24	-33	239	58
23	-32	240	59
22	-31	245	60
21	-31	244	61
20	-30	240	62
19	-29	241	63
18	-28	244	64
17	-27	244	65
17	-26	246	66
17	-25	247	67
16	-24	246	68
16	-23	242	69
16	-22	241	70
17	-21	243	71
18	-21	244	72
19	-21	245	73
20	-21	245	74
21	-21	245	75
22	-22	243	76
23	-22	242	77
24	-22	242	78
25	-23	245	79
26	-23	244	80
27	-24	247	81
