x	y	intensity	time_series
1	-41	250	1
1	-42	251	2
1	-43	251	3
1	-44	252	4
1	-45	251	5
2	-46	250	6
3	-47	250	7
4	-48	249	8
5	-48	249	9
6	-48	250	10
7	-48	250	11
8	-48	249	12
9	-48	248	13
10	-48	248	14
11	-48	249	15
12	-48	249	16
13	-48	248	17
14	-48	247	18
15	-48	245	19
16	-48	244	20
17	-47	245	21
18	-47	245	22
19	-47	246	23
20	-47	247	24
21	-47	248	25
22	-46	248	26
23	-46	248	27
24	-46	248	28
25	-46	248	29
26	-46	249	30
27	-46	249	31
28	-45	250	32
29	-45	250	33
30	-44	250	34
31	-43	251	35
31	-42	251	36
31	-41	250	37
30	-40	249	38
30	-39	248	39
29	-38	247	40
28	-37	247	41
27	-37	247	42
26	-36	248	43
25	-36	245	44
24	-35	245	45
23	-34	247	46
22	-34	247	47
21	-33	244	48
20	-32	247	49
19	-32	248	50
18	-31	251	51
17	-31	252	52
16	-30	251	53
15	-29	249	54
14	-29	249	55
13	-28	249	56
12	-27	250	57
11	-26	250	58
10	-25	251	59
10	-24	251	60
9	-23	253	61
9	-22	254	62
9	-21	254	63
8	-20	252	64
9	-19	252	65
9	-18	252	66
9	-17	251	67
10	-16	251	68
11	-16	251	69
12	-16	252	70
13	-16	252	71
14	-16	251	72
15	-17	250	73
16	-17	253	74
17	-17	252	75
18	-17	252	76
19	-18	251	77
20	-19	250	78
20	-20	250	79
21	-21	252	80
22	-21	253	81
23	-22	252	82
