x	y	intensity	time_series
16	-55	246	1
17	-55	239	2
18	-55	237	3
19	-56	239	4
20	-56	242	5
21	-56	233	6
22	-57	229	7
23	-57	230	8
24	-57	231	9
25	-57	230	10
26	-58	204	11
27	-58	201	12
28	-58	197	13
29	-58	194	14
30	-58	191	15
31	-58	191	16
32	-59	154	17
33	-59	147	18
34	-59	148	19
35	-59	146	20
36	-59	144	21
37	-59	141	22
38	-59	137	23
39	-59	136	24
40	-59	137	25
41	-59	140	26
42	-59	141	27
43	-59	139	28
44	-59	138	29
45	-59	138	30
46	-59	138	31
47	-59	138	32
48	-59	141	33
49	-59	145	34
50	-59	151	35
51	-59	158	36
52	-59	162	37
53	-59	164	38
54	-59	167	39
55	-58	200	40
56	-58	205	41
57	-58	210	42
58	-57	230	43
59	-57	231	44
60	-57	232	45
61	-56	237	46
62	-55	242	47
63	-54	245	48
64	-53	249	49
64	-52	250	50
64	-51	246	51
64	-50	245	52
64	-49	246	53
64	-48	246	54
63	-47	246	55
62	-46	250	56
61	-45	248	57
60	-44	246	58
59	-44	245	59
58	-43	246	60
57	-43	246	61
56	-43	246	62
55	-42	246	63
54	-42	246	64
53	-42	246	65
52	-42	248	66
51	-41	250	67
50	-41	250	68
49	-40	251	69
48	-40	251	70
47	-39	252	71
46	-39	251	72
45	-39	250	73
44	-38	250	74
43	-38	249	75
42	-38	249	76
41	-38	249	77
40	-38	249	78
39	-38	249	79
38	-38	250	80
37	-37	249	81
36	-37	248	82
35	-37	247	83
34	-37	246	84
33	-37	245	85
32	-37	246	86
31	-37	245	87
30	-36	243	88
29	-36	241	89
28	-36	242	90
27	-36	244	91
26	-36	246	92
25	-36	246	93
24	-36	246	94
23	-36	245	95
22	-36	246	96
21	-35	247	97
20	-35	247	98
19	-35	247	99
18	-35	247	100
17	-35	247	101
16	-34	251	102
15	-34	250	103
14	-33	251	104
13	-33	249	105
12	-32	245	106
11	-32	247	107
10	-31	245	108
9	-31	246	109
8	-30	244	110
7	-29	242	111
7	-28	243	112
7	-27	245	113
6	-26	247	114
6	-25	249	115
6	-24	249	116
7	-23	249	117
7	-22	246	118
7	-21	245	119
7	-20	246	120
8	-19	247	121
9	-18	248	122
9	-17	248	123
10	-16	245	124
11	-15	241	125
12	-14	245	126
13	-14	244	127
14	-13	244	128
15	-12	243	129
16	-12	247	130
17	-11	248	131
18	-10	251	132
19	-10	251	133
20	-9	248	134
21	-9	248	135
22	-8	247	136
23	-7	250	137
24	-7	251	138
25	-7	252	139
26	-7	251	140
27	-6	250	141
28	-6	249	142
29	-6	249	143
30	-6	251	144
31	-6	253	145
32	-6	252	146
33	-6	249	147
34	-5	250	148
35	-5	250	149
36	-5	249	150
37	-5	249	151
38	-5	248	152
39	-5	247	153
40	-5	246	154
41	-5	246	155
42	-6	245	156
43	-6	246	157
44	-6	247	158
45	-7	248	159
46	-7	249	160
47	-8	250	161
48	-8	251	162
49	-9	251	163
50	-10	249	164
51	-11	245	165
51	-12	246	166
52	-13	247	167
52	-14	248	168
52	-15	249	169
53	-16	248	170
53	-17	247	171
