x	y	intensity	time_series
6	-60	145	1
7	-60	138	2
8	-60	130	3
9	-60	127	4
10	-59	122	5
11	-59	131	6
12	-58	154	7
13	-58	177	8
14	-58	192	9
15	-58	211	10
16	-57	246	11
17	-57	247	12
18	-57	244	13
19	-57	239	14
20	-57	239	15
21	-57	239	16
22	-56	246	17
23	-56	247	18
24	-56	247	19
25	-56	248	20
26	-56	249	21
27	-56	251	22
28	-56	251	23
29	-56	250	24
30	-56	249	25
31	-56	250	26
32	-56	250	27
33	-56	248	28
34	-56	247	29
35	-56	246	30
36	-56	246	31
37	-55	248	32
38	-55	249	33
39	-55	250	34
40	-55	250	35
41	-55	250	36
42	-55	250	37
43	-55	251	38
44	-55	252	39
45	-55	251	40
46	-55	251	41
47	-55	251	42
48	-55	251	43
49	-55	250	44
50	-55	250	45
51	-55	250	46
52	-55	250	47
53	-55	250	48
54	-55	251	49
55	-54	252	50
56	-54	253	51
57	-53	254	52
58	-52	253	53
57	-51	252	54
57	-50	250	55
57	-49	250	56
56	-48	254	57
55	-47	253	58
54	-46	252	59
53	-46	252	60
52	-45	252	61
51	-44	252	62
50	-43	253	63
49	-42	253	64
48	-42	253	65
47	-41	252	66
46	-41	252	67
45	-40	251	68
44	-40	251	69
43	-40	251	70
42	-39	251	71
41	-39	252	72
40	-38	253	73
39	-38	253	74
38	-38	252	75
37	-37	253	76
36	-37	253	77
35	-37	252	78
34	-36	251	79
33	-36	250	80
32	-35	252	81
31	-35	252	82
30	-34	253	83
29	-34	253	84
28	-33	253	85
27	-33	253	86
26	-33	253	87
25	-32	253	88
24	-32	254	89
23	-31	252	90
22	-31	253	91
21	-30	253	92
20	-29	253	93
19	-28	253	94
18	-27	250	95
17	-26	253	96
16	-25	254	97
16	-24	253	98
16	-23	250	99
16	-22	250	100
16	-21	253	101
16	-20	253	102
16	-19	253	103
16	-18	253	104
16	-17	253	105
17	-16	252	106
18	-16	252	107
19	-16	252	108
20	-16	251	109
21	-16	251	110
