x	y	intensity	time_series
1	-41	249	1
1	-42	248	2
2	-43	247	3
2	-44	238	4
2	-45	238	5
3	-46	238	6
4	-47	238	7
5	-47	238	8
6	-48	238	9
7	-48	238	10
8	-49	238	11
9	-50	238	12
10	-50	239	13
11	-51	244	14
12	-51	248	15
13	-51	250	16
14	-51	246	17
15	-52	244	18
16	-52	250	19
17	-53	244	20
18	-53	242	21
19	-53	243	22
20	-53	245	23
21	-53	246	24
22	-53	245	25
23	-54	242	26
24	-54	241	27
25	-54	242	28
26	-54	242	29
27	-55	246	30
28	-55	242	31
29	-55	246	32
30	-55	244	33
31	-55	242	34
32	-56	246	35
33	-56	241	36
34	-57	236	37
35	-57	234	38
36	-57	234	39
37	-57	236	40
38	-57	238	41
39	-57	238	42
40	-58	230	43
41	-58	225	44
42	-58	220	45
43	-58	216	46
44	-58	215	47
45	-58	213	48
46	-58	212	49
47	-58	210	50
48	-58	211	51
49	-58	214	52
50	-58	217	53
51	-58	215	54
52	-57	228	55
52	-56	238	56
52	-55	242	57
51	-54	242	58
51	-53	246	59
51	-52	242	60
50	-51	241	61
49	-50	242	62
48	-50	247	63
47	-49	239	64
46	-48	238	65
45	-47	238	66
44	-47	238	67
43	-46	238	68
42	-45	238	69
41	-45	238	70
40	-44	238	71
39	-44	237	72
38	-43	248	73
37	-42	248	74
36	-41	248	75
35	-40	250	76
34	-40	251	77
33	-39	250	78
32	-39	249	79
31	-39	249	80
30	-38	249	81
29	-37	251	82
28	-36	252	83
27	-35	251	84
26	-35	251	85
25	-35	249	86
24	-34	243	87
23	-33	247	88
22	-32	250	89
21	-31	251	90
20	-31	252	91
19	-30	252	92
18	-30	251	93
17	-29	253	94
16	-28	253	95
15	-27	251	96
14	-26	251	97
13	-25	248	98
12	-24	245	99
12	-23	249	100
12	-22	251	101
12	-21	251	102
11	-20	251	103
11	-19	251	104
11	-18	251	105
11	-17	251	106
12	-16	247	107
12	-15	245	108
13	-14	248	109
14	-13	253	110
15	-13	250	111
16	-13	249	112
17	-13	250	113
18	-13	250	114
19	-13	251	115
20	-13	251	116
21	-14	251	117
22	-14	251	118
23	-14	251	119
24	-14	252	120
25	-15	251	121
26	-15	251	122
27	-16	251	123
28	-16	251	124
29	-16	250	125
30	-16	249	126
31	-17	250	127
32	-17	249	128
33	-18	249	129
34	-19	250	130
35	-19	248	131
36	-20	245	132
36	-21	247	133
37	-22	251	134
38	-23	252	135
