x	y	intensity	time_series
8	-49	247	1
9	-49	246	2
10	-50	246	3
11	-50	246	4
12	-51	246	5
13	-51	247	6
14	-52	249	7
15	-52	251	8
16	-53	251	9
17	-54	249	10
18	-55	251	11
19	-55	252	12
20	-55	249	13
21	-55	246	14
22	-55	246	15
23	-56	248	16
24	-56	246	17
25	-56	247	18
26	-57	244	19
27	-57	239	20
28	-58	243	21
29	-58	237	22
30	-59	173	23
31	-59	153	24
32	-59	138	25
33	-59	132	26
34	-60	128	27
35	-60	130	28
36	-60	135	29
37	-60	142	30
38	-60	143	31
39	-60	141	32
40	-60	141	33
41	-61	144	34
42	-61	146	35
43	-60	145	36
44	-59	148	37
44	-58	147	38
44	-57	148	39
43	-56	158	40
43	-55	188	41
42	-54	238	42
42	-53	246	43
41	-52	244	44
40	-51	244	45
39	-51	243	46
38	-50	246	47
37	-49	252	48
36	-49	253	49
35	-48	253	50
34	-48	252	51
33	-47	250	52
32	-46	249	53
31	-46	251	54
30	-45	252	55
29	-44	249	56
28	-44	248	57
27	-43	242	58
26	-43	241	59
25	-42	243	60
24	-42	244	61
23	-42	248	62
22	-41	252	63
21	-41	253	64
20	-40	251	65
19	-39	247	66
18	-39	246	67
17	-38	253	68
16	-37	252	69
15	-37	251	70
14	-36	249	71
13	-36	249	72
12	-35	249	73
11	-34	248	74
10	-33	250	75
9	-32	251	76
8	-32	251	77
7	-31	251	78
7	-30	251	79
6	-29	251	80
6	-28	250	81
6	-27	250	82
5	-26	252	83
5	-25	250	84
5	-24	247	85
5	-23	247	86
5	-22	251	87
5	-21	252	88
6	-20	251	89
6	-19	249	90
7	-18	249	91
7	-17	250	92
8	-16	245	93
9	-15	246	94
10	-14	248	95
11	-14	250	96
12	-14	250	97
13	-14	250	98
14	-14	249	99
15	-14	249	100
16	-14	250	101
17	-14	250	102
18	-14	249	103
19	-14	248	104
20	-15	251	105
21	-16	251	106
22	-16	251	107
23	-17	251	108
23	-18	251	109
24	-19	251	110
25	-20	251	111
26	-21	247	112
27	-22	246	113
28	-23	251	114
28	-24	251	115
29	-25	251	116
29	-26	248	117
29	-27	246	118
30	-28	248	119
