x	y	intensity	time_series
4	-53	248	1
5	-53	248	2
6	-53	245	3
7	-54	248	4
8	-54	246	5
9	-54	245	6
10	-55	239	7
11	-55	240	8
12	-55	246	9
13	-55	249	10
14	-55	249	11
15	-56	241	12
16	-56	244	13
17	-56	244	14
18	-56	245	15
19	-56	246	16
20	-56	248	17
21	-56	249	18
22	-57	245	19
23	-57	245	20
24	-57	243	21
25	-57	240	22
26	-57	241	23
27	-57	244	24
28	-57	244	25
29	-57	240	26
30	-57	245	27
31	-57	245	28
32	-57	241	29
33	-57	238	30
34	-57	240	31
35	-57	235	32
36	-57	232	33
37	-57	234	34
38	-57	238	35
39	-57	238	36
40	-57	238	37
41	-57	240	38
42	-57	241	39
43	-57	238	40
44	-57	234	41
45	-57	234	42
46	-57	235	43
47	-57	239	44
48	-56	246	45
49	-56	247	46
50	-56	246	47
51	-56	245	48
52	-56	245	49
53	-56	247	50
54	-56	247	51
55	-56	244	52
56	-55	243	53
57	-55	241	54
58	-54	247	55
58	-53	248	56
58	-52	249	57
57	-51	249	58
57	-50	248	59
57	-49	250	60
57	-48	252	61
56	-47	251	62
55	-47	250	63
54	-46	249	64
53	-46	248	65
52	-45	251	66
51	-45	251	67
50	-44	252	68
49	-43	253	69
48	-43	254	70
47	-42	254	71
46	-42	253	72
45	-41	248	73
44	-40	247	74
43	-40	249	75
42	-39	251	76
41	-39	252	77
40	-38	252	78
39	-38	252	79
38	-38	252	80
37	-37	252	81
36	-36	250	82
35	-35	251	83
34	-35	252	84
33	-34	251	85
32	-33	249	86
31	-33	250	87
30	-32	248	88
29	-32	250	89
28	-32	251	90
27	-31	250	91
26	-30	248	92
25	-29	247	93
24	-29	247	94
23	-29	248	95
22	-28	247	96
21	-28	247	97
20	-27	248	98
19	-26	248	99
18	-25	247	100
17	-25	248	101
16	-24	251	102
15	-23	249	103
14	-22	247	104
13	-21	247	105
12	-20	251	106
12	-19	249	107
12	-18	247	108
12	-17	250	109
12	-16	253	110
12	-15	253	111
12	-14	251	112
13	-13	250	113
13	-12	251	114
14	-11	252	115
15	-11	251	116
16	-11	247	117
17	-10	246	118
18	-10	246	119
19	-10	245	120
20	-11	246	121
21	-11	247	122
22	-11	248	123
23	-11	250	124
24	-12	251	125
25	-12	251	126
26	-12	251	127
27	-12	251	128
28	-13	251	129
29	-14	249	130
30	-14	248	131
31	-15	245	132
32	-16	242	133
