x	y	intensity	time_series
5	-50	252	1
6	-50	252	2
7	-50	252	3
8	-50	253	4
9	-49	254	5
10	-48	253	6
11	-48	252	7
12	-48	252	8
13	-48	250	9
14	-48	252	10
15	-48	252	11
16	-48	252	12
17	-48	251	13
18	-48	250	14
19	-48	250	15
20	-49	251	16
21	-49	251	17
22	-49	251	18
23	-49	252	19
24	-49	252	20
25	-49	252	21
26	-50	252	22
27	-50	251	23
28	-50	250	24
29	-50	249	25
30	-50	251	26
31	-50	252	27
32	-50	252	28
33	-50	249	29
34	-50	249	30
35	-50	251	31
36	-50	249	32
37	-50	249	33
38	-50	251	34
39	-51	252	35
40	-51	252	36
41	-51	250	37
42	-51	250	38
43	-51	251	39
44	-51	251	40
45	-51	251	41
46	-51	251	42
47	-51	250	43
48	-51	250	44
49	-51	249	45
50	-50	250	46
51	-49	253	47
52	-49	253	48
52	-48	253	49
51	-47	251	50
51	-46	250	51
50	-45	250	52
50	-44	252	53
50	-43	251	54
49	-42	251	55
48	-41	250	56
47	-41	251	57
46	-41	251	58
45	-41	250	59
44	-40	252	60
43	-40	252	61
42	-40	251	62
41	-40	251	63
40	-39	252	64
39	-39	251	65
38	-38	252	66
37	-38	251	67
36	-37	252	68
35	-37	251	69
34	-37	251	70
33	-37	251	71
32	-36	252	72
31	-36	253	73
30	-36	252	74
29	-36	252	75
28	-35	247	76
27	-35	247	77
26	-34	249	78
25	-34	249	79
24	-34	249	80
23	-34	249	81
22	-34	248	82
21	-33	247	83
20	-32	247	84
19	-32	248	85
18	-31	252	86
17	-31	252	87
16	-31	252	88
15	-30	252	89
14	-29	249	90
13	-29	250	91
12	-28	250	92
11	-27	248	93
10	-27	247	94
9	-26	250	95
8	-25	251	96
8	-24	252	97
8	-23	251	98
8	-22	253	99
8	-21	253	100
8	-20	251	101
8	-19	248	102
8	-18	246	103
9	-17	252	104
10	-16	253	105
10	-15	251	106
11	-14	247	107
12	-14	247	108
13	-13	247	109
14	-13	248	110
15	-13	249	111
16	-13	249	112
17	-12	252	113
18	-12	252	114
19	-12	252	115
20	-12	251	116
21	-12	251	117
22	-12	251	118
23	-12	251	119
24	-12	252	120
25	-13	247	121
26	-13	248	122
27	-13	250	123
28	-13	251	124
29	-13	252	125
30	-14	250	126
31	-14	250	127
32	-15	249	128
33	-16	251	129
