x	y	intensity	time_series
5	-54	238	1
6	-54	238	2
7	-54	238	3
8	-54	238	4
9	-54	238	5
10	-54	238	6
11	-54	243	7
12	-54	245	8
13	-54	247	9
14	-54	248	10
15	-54	249	11
16	-54	250	12
17	-54	250	13
18	-54	250	14
19	-54	249	15
20	-54	249	16
21	-54	249	17
22	-55	240	18
23	-55	241	19
24	-55	245	20
25	-55	244	21
26	-55	242	22
27	-56	236	23
28	-56	240	24
29	-57	232	25
30	-57	225	26
31	-57	219	27
32	-58	203	28
33	-58	203	29
34	-58	214	30
35	-58	215	31
36	-58	209	32
37	-58	203	33
38	-58	197	34
39	-58	191	35
40	-58	183	36
41	-58	174	37
42	-58	166	38
43	-58	159	39
44	-58	151	40
45	-57	183	41
46	-56	215	42
45	-55	243	43
45	-54	250	44
44	-53	251	45
44	-52	250	46
43	-51	246	47
42	-50	245	48
41	-49	245	49
40	-48	244	50
39	-47	247	51
38	-47	246	52
37	-46	251	53
36	-46	251	54
35	-45	251	55
34	-45	251	56
33	-44	250	57
32	-44	249	58
31	-43	247	59
30	-43	247	60
29	-43	247	61
28	-42	248	62
27	-42	249	63
26	-41	250	64
25	-40	250	65
24	-40	250	66
23	-40	251	67
22	-39	250	68
21	-39	250	69
20	-38	250	70
19	-38	250	71
18	-38	249	72
17	-37	250	73
16	-37	249	74
15	-36	251	75
14	-36	251	76
13	-35	250	77
12	-34	252	78
11	-33	252	79
10	-32	251	80
10	-31	245	81
10	-30	245	82
10	-29	249	83
9	-28	250	84
9	-27	249	85
10	-26	247	86
10	-25	248	87
10	-24	250	88
11	-23	251	89
12	-22	251	90
13	-21	251	91
14	-21	250	92
15	-21	248	93
16	-21	248	94
17	-21	247	95
18	-21	248	96
19	-21	249	97
20	-21	250	98
21	-21	250	99
22	-21	250	100
23	-21	250	101
24	-21	249	102
25	-21	247	103
26	-21	246	104
27	-22	251	105
28	-22	249	106
29	-22	248	107
30	-23	249	108
31	-24	251	109
32	-25	252	110
