x	y	intensity	time_series
27	-65	125	1
28	-64	126	2
28	-63	130	3
28	-62	129	4
29	-61	121	5
30	-61	127	6
31	-60	153	7
32	-60	199	8
33	-60	213	9
34	-59	217	10
35	-58	225	11
36	-58	228	12
37	-58	228	13
38	-59	218	14
39	-59	212	15
40	-59	213	16
41	-59	218	17
42	-59	218	18
43	-59	219	19
44	-59	222	20
45	-59	227	21
46	-59	224	22
47	-59	220	23
48	-59	221	24
49	-59	223	25
50	-59	220	26
51	-59	217	27
52	-60	216	28
53	-60	218	29
54	-60	220	30
55	-60	221	31
56	-61	213	32
57	-61	216	33
58	-61	215	34
59	-61	203	35
60	-61	197	36
61	-61	204	37
62	-61	206	38
63	-61	200	39
64	-61	195	40
65	-61	186	41
66	-62	159	42
67	-62	161	43
68	-62	160	44
69	-62	145	45
70	-62	145	46
71	-62	144	47
72	-61	171	48
73	-61	175	49
74	-61	168	50
75	-60	194	51
76	-59	209	52
76	-58	213	53
75	-57	222	54
75	-56	236	55
75	-55	245	56
75	-54	248	57
74	-53	246	58
73	-52	248	59
72	-52	250	60
71	-51	251	61
70	-50	246	62
69	-49	239	63
68	-49	243	64
67	-49	244	65
66	-48	247	66
65	-48	246	67
64	-47	249	68
63	-46	247	69
62	-45	245	70
61	-45	246	71
60	-45	246	72
59	-44	247	73
58	-44	246	74
57	-43	245	75
56	-42	250	76
55	-42	248	77
54	-42	247	78
53	-41	249	79
52	-41	249	80
51	-41	249	81
50	-41	249	82
49	-40	249	83
48	-40	246	84
47	-39	245	85
46	-39	245	86
45	-38	250	87
44	-37	246	88
43	-36	246	89
42	-36	245	90
41	-36	245	91
40	-36	246	92
39	-36	246	93
38	-35	249	94
37	-35	248	95
36	-35	249	96
35	-35	250	97
34	-35	250	98
33	-35	250	99
32	-34	249	100
31	-34	248	101
30	-33	249	102
29	-32	250	103
28	-32	249	104
27	-32	245	105
26	-31	249	106
25	-31	250	107
24	-30	252	108
23	-30	252	109
22	-29	252	110
21	-29	251	111
20	-29	250	112
19	-28	250	113
18	-27	250	114
17	-27	249	115
16	-27	247	116
15	-26	246	117
14	-26	246	118
13	-25	248	119
12	-24	250	120
11	-24	250	121
10	-23	250	122
9	-22	249	123
8	-21	250	124
7	-20	247	125
7	-19	249	126
7	-18	251	127
7	-17	250	128
7	-16	250	129
6	-15	252	130
7	-14	251	131
7	-13	250	132
7	-12	248	133
8	-11	250	134
9	-10	250	135
10	-10	248	136
11	-9	252	137
12	-9	251	138
13	-8	248	139
14	-8	250	140
15	-7	252	141
16	-7	252	142
17	-6	249	143
18	-6	252	144
19	-6	252	145
20	-5	252	146
21	-5	252	147
22	-5	251	148
23	-5	251	149
24	-5	250	150
25	-5	249	151
26	-5	248	152
27	-5	248	153
28	-5	251	154
29	-5	251	155
30	-5	250	156
