x	y	intensity	time_series
5	-48	251	1
6	-48	250	2
7	-48	250	3
8	-48	250	4
9	-48	250	5
10	-48	249	6
11	-48	247	7
12	-48	245	8
13	-49	244	9
14	-49	243	10
15	-49	241	11
16	-49	242	12
17	-50	245	13
18	-50	245	14
19	-50	245	15
20	-50	246	16
21	-51	246	17
22	-51	247	18
23	-51	249	19
24	-51	252	20
25	-51	253	21
26	-51	252	22
27	-52	249	23
28	-52	249	24
29	-52	250	25
30	-53	244	26
31	-53	244	27
32	-53	244	28
33	-53	244	29
34	-54	244	30
35	-54	244	31
36	-54	245	32
37	-54	246	33
38	-54	247	34
39	-53	246	35
39	-52	244	36
38	-51	249	37
38	-50	251	38
38	-49	249	39
37	-48	244	40
37	-47	243	41
37	-46	250	42
36	-45	253	43
35	-45	254	44
34	-44	251	45
33	-44	249	46
32	-43	249	47
31	-42	251	48
30	-42	249	49
29	-41	251	50
28	-40	252	51
27	-40	252	52
26	-39	251	53
25	-38	250	54
24	-38	250	55
23	-37	248	56
22	-37	249	57
21	-36	248	58
20	-36	248	59
19	-35	245	60
18	-34	246	61
17	-34	249	62
16	-33	249	63
15	-33	247	64
14	-32	245	65
13	-31	247	66
12	-30	247	67
11	-29	249	68
10	-28	249	69
9	-27	246	70
8	-26	244	71
7	-25	245	72
7	-24	249	73
7	-23	250	74
7	-22	251	75
7	-21	251	76
7	-20	250	77
6	-19	247	78
6	-18	245	79
7	-17	246	80
7	-16	251	81
7	-15	251	82
8	-14	249	83
9	-13	250	84
10	-12	252	85
11	-12	253	86
12	-11	249	87
13	-11	249	88
14	-11	250	89
15	-12	253	90
16	-12	251	91
