x	y	intensity	time_series
8	-51	246	1
8	-52	247	2
9	-53	249	3
10	-53	248	4
11	-54	245	5
12	-54	244	6
13	-54	245	7
14	-55	246	8
15	-55	246	9
16	-55	245	10
17	-56	242	11
18	-56	242	12
19	-56	244	13
20	-56	245	14
21	-56	244	15
22	-56	241	16
23	-56	241	17
24	-56	240	18
25	-56	239	19
26	-56	237	20
27	-56	236	21
28	-56	235	22
29	-56	236	23
30	-56	236	24
31	-56	236	25
32	-56	237	26
33	-56	236	27
34	-55	243	28
35	-54	247	29
35	-53	246	30
36	-52	241	31
35	-51	244	32
35	-50	246	33
35	-49	249	34
35	-48	251	35
35	-47	246	36
34	-46	241	37
34	-45	247	38
33	-44	249	39
33	-43	248	40
33	-42	246	41
32	-41	247	42
31	-40	247	43
30	-39	245	44
29	-39	245	45
28	-38	244	46
27	-38	247	47
26	-37	249	48
25	-37	249	49
24	-36	250	50
23	-36	249	51
22	-35	249	52
21	-35	249	53
20	-34	251	54
19	-34	250	55
18	-34	249	56
17	-33	247	57
16	-32	246	58
15	-32	246	59
14	-32	246	60
13	-31	247	61
12	-30	244	62
11	-29	245	63
10	-28	247	64
9	-27	244	65
9	-26	243	66
8	-25	247	67
8	-24	249	68
8	-23	246	69
8	-22	244	70
9	-21	247	71
10	-20	245	72
11	-20	245	73
12	-20	244	74
13	-19	241	75
14	-19	241	76
