x	y	intensity	time_series
5	-64	235	1
6	-63	238	2
6	-62	238	3
7	-61	238	4
8	-60	238	5
9	-59	237	6
10	-58	242	7
11	-58	247	8
12	-58	250	9
13	-58	250	10
14	-58	249	11
15	-58	245	12
16	-58	243	13
17	-58	242	14
18	-58	242	15
19	-58	240	16
20	-58	239	17
21	-58	238	18
22	-59	228	19
23	-59	228	20
24	-59	230	21
25	-59	232	22
26	-60	218	23
27	-60	216	24
28	-60	217	25
29	-60	217	26
30	-60	215	27
31	-61	210	28
32	-61	212	29
33	-61	216	30
34	-62	216	31
35	-62	216	32
36	-62	214	33
37	-62	211	34
38	-62	209	35
39	-62	211	36
40	-62	214	37
41	-62	216	38
42	-62	214	39
43	-62	211	40
44	-62	209	41
45	-61	213	42
46	-60	221	43
46	-59	227	44
45	-58	244	45
45	-57	247	46
45	-56	246	47
45	-55	246	48
44	-54	249	49
43	-53	249	50
42	-52	244	51
41	-51	246	52
40	-50	244	53
39	-49	246	54
38	-48	249	55
37	-47	250	56
36	-47	246	57
35	-46	246	58
34	-45	249	59
33	-44	251	60
32	-43	250	61
31	-42	245	62
30	-41	244	63
29	-41	246	64
28	-40	248	65
27	-39	248	66
26	-38	247	67
25	-37	248	68
24	-36	249	69
23	-35	250	70
22	-35	250	71
21	-34	252	72
21	-33	250	73
20	-32	249	74
20	-31	244	75
19	-30	240	76
18	-29	237	77
17	-28	240	78
17	-27	241	79
16	-26	241	80
16	-25	237	81
15	-24	229	82
15	-23	232	83
14	-22	236	84
14	-21	241	85
14	-20	247	86
14	-19	252	87
14	-18	252	88
14	-17	251	89
14	-16	250	90
14	-15	251	91
15	-14	249	92
15	-13	247	93
15	-12	246	94
16	-11	249	95
16	-10	250	96
17	-9	251	97
18	-8	250	98
19	-8	250	99
20	-8	250	100
