x	y	intensity	time_series
2	-43	251	1
3	-43	252	2
4	-42	251	3
5	-42	249	4
6	-42	246	5
7	-42	247	6
8	-42	248	7
9	-42	250	8
10	-42	251	9
11	-42	252	10
12	-42	253	11
13	-42	253	12
14	-42	253	13
15	-42	252	14
16	-42	251	15
17	-42	251	16
18	-43	250	17
19	-43	249	18
20	-44	251	19
21	-44	251	20
22	-44	251	21
23	-44	252	22
24	-44	252	23
25	-45	253	24
26	-45	253	25
27	-45	253	26
28	-44	253	27
29	-43	252	28
29	-42	251	29
29	-41	253	30
28	-40	251	31
28	-39	251	32
27	-38	249	33
27	-37	249	34
26	-36	247	35
25	-35	247	36
24	-34	250	37
23	-33	248	38
22	-33	247	39
21	-32	246	40
20	-31	243	41
20	-30	247	42
19	-29	247	43
18	-28	247	44
17	-27	247	45
16	-26	247	46
16	-25	247	47
15	-24	247	48
14	-23	247	49
13	-22	247	50
13	-21	247	51
12	-20	246	52
11	-19	250	53
11	-18	251	54
11	-17	247	55
11	-16	247	56
11	-15	249	57
11	-14	250	58
11	-13	247	59
11	-12	247	60
12	-11	249	61
13	-10	251	62
14	-9	251	63
15	-9	250	64
16	-8	250	65
17	-9	248	66
18	-9	248	67
19	-9	249	68
20	-9	251	69
21	-10	252	70
22	-10	253	71
