x	y	intensity	time_series
12	-61	113	1
13	-61	115	2
14	-61	113	3
15	-61	114	4
16	-61	129	5
17	-62	190	6
18	-62	200	7
19	-63	215	8
20	-63	218	9
21	-63	222	10
22	-63	223	11
23	-63	223	12
24	-63	221	13
25	-64	227	14
26	-65	239	15
27	-65	240	16
28	-65	240	17
29	-65	236	18
30	-65	234	19
31	-65	234	20
32	-65	237	21
33	-65	242	22
34	-66	250	23
35	-66	250	24
36	-66	248	25
37	-66	247	26
38	-67	246	27
39	-67	249	28
40	-67	249	29
41	-67	248	30
42	-67	247	31
43	-67	246	32
44	-67	246	33
45	-67	246	34
46	-66	247	35
47	-67	246	36
48	-67	246	37
49	-67	243	38
50	-67	241	39
51	-67	243	40
52	-67	244	41
53	-67	242	42
54	-67	236	43
55	-67	228	44
56	-68	201	45
57	-68	196	46
58	-68	196	47
59	-68	194	48
60	-68	193	49
61	-68	194	50
62	-68	194	51
63	-68	195	52
64	-68	197	53
65	-68	200	54
66	-68	206	55
67	-68	216	56
68	-67	225	57
69	-67	228	58
70	-67	229	59
71	-67	233	60
72	-67	234	61
73	-66	235	62
74	-65	237	63
74	-64	236	64
74	-63	224	65
74	-62	205	66
73	-61	188	67
72	-60	183	68
71	-59	197	69
70	-58	232	70
69	-58	240	71
68	-58	240	72
67	-57	234	73
66	-57	236	74
65	-56	220	75
64	-55	197	76
63	-54	180	77
62	-53	176	78
61	-52	177	79
60	-52	175	80
59	-51	181	81
58	-51	176	82
57	-51	165	83
56	-50	191	84
55	-50	198	85
54	-50	197	86
53	-49	230	87
52	-48	243	88
51	-48	243	89
50	-47	251	90
49	-47	251	91
48	-47	251	92
47	-46	253	93
46	-46	252	94
45	-46	250	95
44	-45	248	96
43	-45	247	97
42	-45	247	98
41	-45	247	99
40	-44	248	100
39	-44	248	101
38	-44	251	102
37	-44	249	103
36	-43	251	104
35	-43	250	105
34	-42	253	106
33	-41	253	107
32	-41	252	108
31	-41	251	109
30	-40	254	110
29	-40	254	111
28	-40	254	112
27	-39	250	113
26	-39	251	114
25	-39	251	115
24	-38	251	116
23	-38	252	117
22	-37	252	118
21	-37	253	119
20	-37	253	120
19	-37	253	121
18	-36	251	122
17	-35	250	123
16	-35	249	124
15	-34	251	125
14	-34	251	126
13	-33	251	127
12	-32	249	128
11	-31	248	129
11	-30	251	130
10	-29	250	131
10	-28	251	132
10	-27	251	133
10	-26	253	134
10	-25	252	135
11	-24	251	136
11	-23	249	137
11	-22	248	138
12	-21	250	139
12	-20	252	140
13	-19	252	141
14	-19	252	142
15	-18	251	143
16	-17	250	144
17	-17	250	145
18	-16	252	146
19	-16	253	147
20	-16	252	148
21	-15	251	149
22	-15	251	150
23	-14	251	151
24	-14	252	152
25	-13	250	153
26	-13	250	154
27	-13	251	155
28	-13	251	156
29	-13	251	157
30	-13	250	158
31	-13	249	159
32	-12	248	160
33	-12	247	161
34	-12	247	162
35	-12	247	163
36	-12	248	164
37	-12	249	165
38	-12	249	166
39	-12	249	167
40	-13	251	168
