x	y	intensity	time_series
34	-64	235	1
35	-65	237	2
36	-66	242	3
37	-66	238	4
38	-66	233	5
39	-66	232	6
40	-66	233	7
41	-66	238	8
42	-66	241	9
43	-66	242	10
44	-66	241	11
45	-66	238	12
46	-66	233	13
47	-66	235	14
48	-66	239	15
49	-66	240	16
50	-66	234	17
51	-66	224	18
52	-65	234	19
53	-65	226	20
54	-65	207	21
55	-65	186	22
56	-65	164	23
57	-65	150	24
58	-65	145	25
59	-65	140	26
60	-65	144	27
61	-64	145	28
62	-64	151	29
63	-63	148	30
64	-62	143	31
64	-61	141	32
63	-60	151	33
63	-59	147	34
62	-58	145	35
62	-57	147	36
61	-56	150	37
60	-55	142	38
59	-54	138	39
58	-54	137	40
57	-53	138	41
56	-52	181	42
55	-52	173	43
54	-51	216	44
53	-51	213	45
52	-50	237	46
51	-50	232	47
50	-49	243	48
49	-49	241	49
48	-48	246	50
47	-47	251	51
46	-47	249	52
45	-46	249	53
44	-46	252	54
43	-45	253	55
42	-45	253	56
41	-45	252	57
40	-44	249	58
39	-44	247	59
38	-43	247	60
37	-43	249	61
36	-42	250	62
35	-42	251	63
34	-42	252	64
33	-42	253	65
32	-41	254	66
31	-40	254	67
30	-40	254	68
29	-39	254	69
28	-39	254	70
27	-39	254	71
26	-39	254	72
25	-38	254	73
24	-37	254	74
23	-36	254	75
22	-36	253	76
21	-36	253	77
20	-35	253	78
19	-35	253	79
18	-34	254	80
17	-33	254	81
16	-32	253	82
15	-31	253	83
14	-31	253	84
13	-30	252	85
12	-29	253	86
11	-28	253	87
10	-27	252	88
9	-26	251	89
9	-25	253	90
9	-24	254	91
9	-23	254	92
8	-22	254	93
8	-21	254	94
8	-20	254	95
9	-19	254	96
9	-18	254	97
10	-17	254	98
11	-17	254	99
12	-16	253	100
13	-16	253	101
14	-15	252	102
15	-15	253	103
16	-15	254	104
17	-14	251	105
18	-14	250	106
19	-14	249	107
20	-14	249	108
21	-14	249	109
22	-14	249	110
23	-14	251	111
