x	y	intensity	time_series
8	-47	251	1
9	-48	247	2
10	-48	246	3
11	-48	245	4
12	-49	245	5
13	-49	247	6
14	-49	248	7
15	-49	249	8
16	-49	249	9
17	-49	249	10
18	-49	249	11
19	-50	250	12
20	-50	250	13
21	-50	249	14
22	-50	248	15
23	-51	249	16
24	-51	250	17
25	-51	250	18
26	-51	249	19
27	-51	249	20
28	-51	249	21
29	-51	250	22
30	-52	249	23
31	-52	250	24
32	-52	250	25
33	-53	248	26
34	-53	248	27
35	-53	248	28
36	-53	245	29
37	-53	246	30
38	-53	247	31
39	-53	248	32
40	-53	249	33
41	-54	249	34
42	-54	250	35
43	-54	249	36
44	-54	248	37
45	-54	246	38
46	-54	243	39
47	-54	244	40
48	-54	247	41
49	-54	249	42
50	-54	248	43
51	-54	247	44
52	-54	246	45
53	-54	247	46
54	-54	246	47
55	-53	248	48
56	-52	249	49
56	-51	248	50
56	-50	246	51
56	-49	246	52
56	-48	248	53
55	-47	248	54
55	-46	249	55
54	-45	250	56
54	-44	250	57
53	-43	250	58
52	-42	248	59
51	-41	247	60
50	-40	247	61
49	-40	248	62
48	-39	249	63
47	-38	248	64
46	-37	248	65
45	-37	251	66
44	-36	251	67
43	-35	252	68
42	-34	251	69
41	-34	250	70
40	-33	248	71
39	-33	250	72
38	-32	251	73
37	-31	250	74
36	-30	246	75
35	-30	250	76
34	-29	248	77
33	-28	246	78
32	-28	246	79
31	-27	245	80
30	-26	245	81
29	-25	251	82
28	-25	251	83
27	-24	251	84
26	-23	252	85
26	-22	253	86
25	-21	252	87
24	-20	251	88
23	-19	251	89
22	-18	250	90
22	-17	250	91
22	-16	250	92
22	-15	248	93
21	-14	247	94
22	-13	249	95
22	-12	250	96
22	-11	251	97
22	-10	252	98
23	-9	252	99
24	-8	251	100
25	-8	251	101
26	-8	250	102
27	-8	250	103
28	-8	250	104
29	-8	251	105
30	-8	251	106
31	-9	251	107
32	-9	250	108
33	-9	249	109
34	-9	248	110
35	-9	248	111
36	-10	249	112
37	-11	248	113
38	-11	249	114
39	-12	249	115
40	-12	249	116
41	-13	250	117
42	-14	249	118
43	-15	248	119
44	-15	247	120
45	-16	249	121
46	-17	244	122
