x	y	intensity	time_series
6	-58	236	1
7	-58	242	2
8	-58	246	3
9	-58	229	4
10	-58	237	5
11	-58	238	6
12	-58	238	7
13	-58	238	8
14	-58	238	9
15	-58	238	10
16	-58	238	11
17	-58	238	12
18	-58	235	13
19	-58	226	14
20	-58	218	15
21	-58	213	16
22	-58	223	17
23	-58	217	18
24	-58	221	19
25	-58	226	20
26	-58	225	21
27	-58	216	22
28	-58	230	23
29	-59	182	24
30	-59	165	25
31	-59	149	26
32	-59	151	27
33	-59	155	28
34	-59	158	29
35	-59	161	30
36	-59	164	31
37	-59	164	32
38	-59	165	33
39	-60	158	34
40	-60	160	35
41	-60	166	36
42	-60	167	37
43	-61	161	38
44	-61	163	39
45	-61	172	40
46	-61	175	41
47	-61	170	42
48	-61	169	43
49	-61	171	44
50	-61	167	45
51	-61	164	46
52	-61	165	47
53	-60	161	48
54	-60	158	49
55	-59	159	50
56	-58	165	51
56	-57	207	52
56	-56	235	53
55	-55	250	54
55	-54	253	55
55	-53	254	56
54	-52	252	57
53	-51	250	58
52	-51	251	59
51	-50	253	60
50	-49	254	61
49	-48	254	62
48	-48	254	63
47	-47	252	64
46	-47	251	65
45	-46	251	66
44	-46	252	67
43	-45	253	68
42	-45	253	69
41	-44	252	70
40	-44	254	71
39	-43	249	72
38	-43	246	73
37	-42	246	74
36	-41	242	75
35	-41	238	76
34	-41	238	77
33	-40	238	78
32	-40	238	79
31	-39	238	80
30	-38	238	81
29	-38	238	82
28	-38	238	83
27	-37	238	84
26	-36	238	85
25	-36	237	86
24	-35	244	87
23	-35	244	88
22	-35	246	89
21	-34	244	90
21	-33	244	91
20	-32	243	92
19	-32	243	93
18	-31	241	94
18	-30	244	95
17	-29	238	96
17	-28	238	97
17	-27	238	98
17	-26	238	99
17	-25	238	100
17	-24	238	101
17	-23	238	102
18	-22	238	103
19	-21	238	104
20	-20	238	105
21	-20	238	106
22	-19	238	107
23	-18	238	108
24	-18	238	109
25	-18	238	110
26	-18	238	111
27	-18	238	112
28	-18	238	113
29	-18	238	114
30	-18	238	115
31	-18	238	116
32	-18	238	117
33	-18	238	118
34	-18	238	119
35	-18	238	120
36	-18	238	121
37	-18	238	122
38	-18	238	123
39	-19	238	124
40	-19	242	125
41	-19	248	126
42	-20	250	127
43	-21	252	128
44	-21	253	129
45	-22	253	130
46	-22	252	131
47	-23	252	132
