x	y	intensity	time_series
4	-36	246	1
5	-37	249	2
5	-38	250	3
6	-39	246	4
7	-39	245	5
8	-40	245	6
9	-40	244	7
10	-41	250	8
11	-42	251	9
12	-42	250	10
13	-43	251	11
14	-43	251	12
15	-44	251	13
16	-45	246	14
17	-45	245	15
18	-46	243	16
19	-47	246	17
20	-48	250	18
21	-48	250	19
22	-49	244	20
23	-50	245	21
24	-50	245	22
25	-51	248	23
26	-52	251	24
27	-52	249	25
28	-53	250	26
29	-53	250	27
30	-54	249	28
31	-54	249	29
32	-55	249	30
33	-55	244	31
34	-56	242	32
35	-57	245	33
36	-57	243	34
37	-57	245	35
38	-58	235	36
39	-58	224	37
40	-58	208	38
41	-59	171	39
42	-59	164	40
43	-59	160	41
44	-59	160	42
45	-59	160	43
46	-59	160	44
47	-59	160	45
48	-58	162	46
48	-57	173	47
47	-56	203	48
47	-55	228	49
47	-54	245	50
47	-53	249	51
46	-52	247	52
46	-51	247	53
45	-50	247	54
44	-49	247	55
44	-48	248	56
43	-47	249	57
42	-47	251	58
41	-46	250	59
40	-45	245	60
39	-44	245	61
38	-43	246	62
37	-42	244	63
36	-41	244	64
35	-40	248	65
34	-39	252	66
33	-38	253	67
33	-37	252	68
32	-36	248	69
31	-35	242	70
30	-34	249	71
29	-34	249	72
28	-33	250	73
27	-32	247	74
27	-31	247	75
26	-30	248	76
25	-29	246	77
24	-28	245	78
24	-27	244	79
23	-26	246	80
23	-25	251	81
22	-24	252	82
22	-23	253	83
22	-22	252	84
21	-21	251	85
21	-20	250	86
21	-19	250	87
21	-18	248	88
22	-17	245	89
22	-16	246	90
23	-15	249	91
23	-14	249	92
24	-13	248	93
25	-13	248	94
26	-13	249	95
27	-13	251	96
28	-13	251	97
29	-13	251	98
30	-13	249	99
31	-14	247	100
32	-14	246	101
33	-14	247	102
34	-14	248	103
35	-15	249	104
36	-15	249	105
37	-15	247	106
38	-16	247	107
39	-17	249	108
40	-18	249	109
41	-18	250	110
