x	y	intensity	time_series
16	-59	138	1
17	-59	140	2
18	-59	143	3
19	-59	143	4
20	-59	141	5
21	-59	137	6
22	-59	131	7
23	-59	127	8
24	-59	127	9
25	-59	123	10
26	-60	118	11
27	-60	124	12
28	-60	125	13
29	-61	122	14
30	-61	129	15
31	-61	138	16
32	-61	136	17
33	-61	135	18
34	-61	140	19
35	-62	198	20
36	-62	201	21
37	-62	208	22
38	-63	228	23
39	-63	226	24
40	-63	223	25
41	-64	200	26
42	-64	186	27
43	-64	174	28
44	-65	167	29
45	-65	168	30
46	-65	160	31
47	-65	154	32
48	-65	154	33
49	-65	158	34
50	-65	163	35
51	-65	170	36
52	-66	207	37
53	-65	194	38
54	-64	176	39
54	-63	150	40
54	-62	142	41
53	-61	150	42
53	-60	154	43
52	-59	160	44
51	-58	168	45
50	-58	184	46
49	-57	148	47
48	-56	140	48
47	-56	141	49
46	-56	146	50
45	-55	150	51
44	-54	150	52
43	-54	149	53
42	-53	149	54
41	-53	148	55
40	-52	209	56
39	-52	219	57
38	-51	244	58
37	-50	249	59
36	-50	244	60
35	-49	238	61
34	-49	236	62
33	-49	237	63
32	-48	237	64
31	-48	237	65
30	-48	238	66
29	-47	242	67
28	-47	244	68
27	-46	247	69
26	-46	248	70
25	-45	250	71
24	-45	249	72
23	-44	245	73
22	-44	248	74
21	-43	250	75
20	-43	251	76
19	-42	249	77
18	-41	251	78
17	-41	252	79
16	-40	254	80
15	-40	254	81
14	-39	253	82
13	-39	253	83
12	-38	250	84
11	-37	250	85
10	-36	250	86
9	-35	247	87
8	-34	240	88
8	-33	248	89
8	-32	251	90
8	-31	252	91
8	-30	253	92
8	-29	253	93
8	-28	250	94
8	-27	246	95
9	-26	239	96
10	-25	235	97
11	-25	231	98
12	-24	232	99
13	-24	229	100
14	-24	236	101
15	-24	238	102
16	-24	241	103
17	-24	244	104
18	-24	249	105
19	-24	251	106
20	-24	252	107
21	-24	252	108
22	-24	252	109
23	-24	252	110
24	-25	242	111
25	-25	244	112
26	-26	244	113
