x	y	intensity	time_series
3	-46	245	1
4	-47	244	2
5	-47	243	3
6	-48	240	4
7	-48	240	5
8	-48	241	6
9	-48	241	7
10	-49	240	8
11	-49	240	9
12	-49	241	10
13	-50	240	11
14	-50	242	12
15	-50	243	13
16	-50	242	14
17	-50	238	15
18	-50	235	16
19	-51	240	17
20	-51	241	18
21	-51	241	19
22	-51	240	20
23	-51	242	21
24	-51	243	22
25	-51	244	23
26	-51	244	24
27	-51	245	25
28	-51	247	26
29	-51	247	27
30	-51	249	28
31	-51	250	29
32	-51	249	30
33	-51	248	31
34	-51	247	32
35	-52	248	33
36	-52	247	34
37	-52	246	35
38	-52	244	36
39	-52	241	37
40	-52	243	38
41	-52	247	39
42	-51	247	40
43	-51	245	41
44	-51	243	42
45	-51	242	43
46	-51	241	44
47	-51	241	45
48	-50	238	46
49	-49	237	47
50	-48	240	48
49	-47	241	49
49	-46	242	50
48	-45	241	51
48	-44	240	52
47	-43	240	53
46	-43	241	54
45	-42	245	55
44	-42	242	56
43	-42	238	57
42	-41	240	58
41	-41	242	59
40	-41	242	60
39	-40	243	61
38	-40	243	62
37	-39	244	63
36	-39	243	64
35	-38	243	65
34	-38	242	66
33	-38	242	67
32	-38	243	68
31	-37	245	69
30	-37	243	70
29	-37	241	71
28	-37	240	72
27	-37	241	73
26	-36	243	74
25	-36	245	75
24	-36	245	76
23	-36	245	77
22	-36	246	78
21	-36	246	79
20	-36	247	80
19	-35	246	81
18	-35	248	82
17	-35	248	83
16	-35	249	84
15	-34	247	85
14	-34	246	86
13	-33	245	87
12	-33	245	88
11	-32	244	89
10	-32	247	90
9	-31	247	91
8	-30	246	92
7	-29	248	93
7	-28	248	94
7	-27	248	95
7	-26	247	96
6	-25	245	97
6	-24	242	98
7	-23	244	99
7	-22	249	100
7	-21	247	101
8	-20	243	102
8	-19	242	103
9	-18	244	104
10	-18	244	105
11	-17	245	106
12	-16	243	107
13	-16	248	108
14	-15	245	109
15	-15	242	110
16	-15	239	111
17	-15	237	112
18	-14	242	113
19	-14	242	114
20	-14	242	115
21	-14	242	116
22	-14	241	117
23	-14	241	118
24	-14	241	119
25	-15	238	120
26	-15	237	121
27	-15	237	122
28	-15	239	123
29	-15	240	124
30	-15	241	125
31	-16	237	126
32	-16	239	127
33	-16	243	128
34	-17	242	129
