x	y	intensity	time_series
52	-51	254	1
51	-51	254	2
50	-50	252	3
49	-50	251	4
48	-50	251	5
47	-50	251	6
46	-50	251	7
45	-49	247	8
44	-49	246	9
43	-49	246	10
42	-49	246	11
41	-49	246	12
40	-49	246	13
39	-49	245	14
38	-48	247	15
38	-47	250	16
37	-46	253	17
37	-45	254	18
36	-44	254	19
35	-43	254	20
34	-42	254	21
33	-42	253	22
32	-42	251	23
31	-42	252	24
30	-42	253	25
29	-42	254	26
28	-41	254	27
27	-41	252	28
26	-40	254	29
25	-40	254	30
24	-39	252	31
23	-38	251	32
22	-37	251	33
21	-36	251	34
20	-35	251	35
19	-35	251	36
18	-34	252	37
17	-33	254	38
16	-32	254	39
16	-31	253	40
15	-30	251	41
15	-29	249	42
15	-28	250	43
15	-27	252	44
15	-26	253	45
15	-25	251	46
15	-24	251	47
15	-23	251	48
16	-22	252	49
17	-21	253	50
18	-20	253	51
19	-19	253	52
20	-19	253	53
21	-18	251	54
22	-18	251	55
23	-17	250	56
24	-17	251	57
25	-17	251	58
26	-16	247	59
27	-16	248	60
28	-16	251	61
29	-16	252	62
30	-16	254	63
31	-16	254	64
32	-16	253	65
33	-16	253	66
34	-16	252	67
35	-15	251	68
36	-15	253	69
37	-15	251	70
38	-15	249	71
39	-15	250	72
40	-15	251	73
41	-15	253	74
42	-15	254	75
43	-16	254	76
44	-16	253	77
45	-16	252	78
46	-17	253	79
47	-17	254	80
48	-18	254	81
49	-19	254	82
50	-19	254	83
51	-20	253	84
