x	y	intensity	time_series
7	-60	142	1
8	-60	139	2
9	-61	137	3
10	-61	140	4
11	-62	157	5
12	-62	187	6
13	-62	213	7
14	-62	223	8
15	-62	222	9
16	-63	211	10
17	-63	214	11
18	-63	218	12
19	-63	218	13
20	-63	217	14
21	-63	220	15
22	-63	216	16
23	-63	213	17
24	-63	213	18
25	-62	219	19
26	-62	222	20
27	-62	222	21
28	-62	220	22
29	-62	215	23
30	-62	211	24
31	-62	208	25
32	-62	211	26
33	-62	215	27
34	-62	213	28
35	-62	206	29
36	-62	197	30
37	-61	170	31
38	-61	172	32
39	-60	168	33
40	-59	167	34
41	-58	176	35
41	-57	194	36
41	-56	215	37
41	-55	237	38
41	-54	253	39
40	-53	248	40
40	-52	245	41
39	-51	244	42
39	-50	249	43
38	-49	251	44
37	-48	250	45
36	-47	252	46
35	-47	253	47
34	-46	254	48
33	-45	252	49
32	-44	252	50
31	-44	251	51
30	-43	254	52
29	-43	254	53
28	-42	254	54
27	-41	253	55
26	-40	251	56
25	-39	253	57
24	-38	254	58
23	-37	253	59
22	-36	253	60
21	-35	252	61
20	-34	252	62
20	-33	252	63
19	-32	253	64
19	-31	252	65
19	-30	252	66
19	-29	252	67
18	-28	252	68
19	-27	252	69
19	-26	251	70
20	-25	251	71
21	-24	250	72
22	-23	251	73
23	-23	251	74
24	-23	251	75
25	-22	249	76
26	-22	249	77
27	-22	249	78
28	-22	250	79
29	-22	250	80
30	-22	250	81
31	-22	251	82
32	-23	252	83
33	-23	252	84
34	-24	253	85
35	-25	252	86
36	-26	251	87
36	-27	250	88
37	-28	249	89
37	-29	251	90
37	-30	253	91
