x	y	intensity	time_series
7	-55	251	1
8	-55	251	2
9	-55	252	3
10	-55	252	4
11	-55	251	5
12	-55	248	6
13	-55	245	7
14	-55	246	8
15	-55	250	9
16	-55	245	10
17	-55	248	11
18	-56	245	12
19	-56	241	13
20	-56	250	14
21	-56	243	15
22	-56	241	16
23	-57	237	17
24	-57	237	18
25	-57	241	19
26	-57	241	20
27	-58	225	21
28	-58	223	22
29	-58	235	23
30	-58	230	24
31	-58	233	25
32	-58	233	26
33	-58	225	27
34	-57	236	28
35	-57	236	29
36	-57	237	30
37	-58	232	31
38	-58	233	32
39	-58	225	33
40	-58	227	34
41	-58	230	35
42	-58	233	36
43	-58	236	37
44	-58	231	38
45	-58	224	39
46	-58	218	40
47	-58	217	41
48	-58	218	42
49	-58	220	43
50	-58	223	44
51	-58	226	45
52	-58	229	46
53	-58	228	47
54	-58	227	48
55	-58	226	49
56	-58	227	50
57	-58	228	51
58	-58	228	52
59	-57	235	53
60	-57	233	54
61	-57	233	55
62	-57	236	56
63	-57	238	57
64	-56	247	58
64	-55	250	59
65	-54	249	60
65	-53	250	61
65	-52	250	62
65	-51	250	63
64	-50	249	64
64	-49	248	65
63	-48	249	66
62	-47	249	67
61	-46	247	68
60	-45	244	69
59	-44	247	70
58	-44	247	71
57	-43	247	72
56	-43	247	73
55	-42	246	74
54	-42	246	75
53	-41	246	76
52	-40	250	77
51	-39	251	78
50	-39	250	79
49	-38	248	80
48	-38	249	81
47	-38	250	82
46	-37	251	83
45	-37	251	84
44	-36	253	85
43	-36	251	86
42	-35	249	87
41	-35	249	88
40	-34	252	89
39	-34	251	90
38	-33	249	91
37	-33	246	92
36	-33	243	93
35	-32	246	94
34	-32	252	95
33	-31	252	96
32	-31	252	97
31	-31	252	98
30	-31	250	99
29	-30	248	100
28	-30	248	101
27	-29	250	102
26	-29	251	103
25	-29	253	104
24	-29	253	105
23	-28	253	106
22	-28	253	107
21	-28	251	108
20	-27	249	109
19	-26	246	110
18	-26	246	111
17	-26	245	112
16	-25	247	113
15	-24	251	114
14	-23	251	115
14	-22	249	116
13	-21	250	117
13	-20	251	118
13	-19	251	119
13	-18	250	120
13	-17	248	121
13	-16	247	122
14	-15	246	123
15	-14	245	124
16	-13	249	125
17	-12	247	126
18	-12	245	127
19	-11	244	128
20	-10	247	129
21	-10	247	130
22	-10	247	131
23	-9	245	132
24	-9	244	133
25	-9	250	134
26	-9	249	135
27	-9	246	136
28	-8	241	137
29	-8	241	138
30	-8	241	139
31	-8	242	140
32	-8	243	141
33	-7	246	142
34	-7	249	143
35	-7	251	144
36	-7	250	145
37	-7	249	146
38	-8	248	147
39	-8	250	148
40	-8	251	149
41	-8	252	150
42	-9	249	151
43	-9	251	152
44	-10	253	153
45	-11	252	154
45	-12	252	155
45	-13	249	156
46	-14	252	157
46	-15	252	158
46	-16	251	159
46	-17	251	160
46	-18	251	161
45	-19	247	162
44	-20	246	163
