x	y	intensity	time_series
5	-43	250	1
6	-44	251	2
7	-44	250	3
8	-44	250	4
9	-45	250	5
10	-46	250	6
11	-47	251	7
12	-47	252	8
13	-47	250	9
14	-48	252	10
15	-48	252	11
16	-48	251	12
17	-49	250	13
18	-50	252	14
19	-50	253	15
20	-51	254	16
21	-51	254	17
22	-52	253	18
23	-52	253	19
24	-53	254	20
25	-53	252	21
26	-54	250	22
27	-54	250	23
28	-55	251	24
29	-55	249	25
30	-56	244	26
31	-56	244	27
32	-56	245	28
33	-57	249	29
34	-57	247	30
35	-58	236	31
36	-58	226	32
37	-58	213	33
38	-59	174	34
39	-59	167	35
40	-60	157	36
41	-60	157	37
42	-60	158	38
43	-60	156	39
44	-60	148	40
45	-60	152	41
46	-60	146	42
47	-61	147	43
48	-61	154	44
49	-60	141	45
50	-60	138	46
51	-59	135	47
51	-58	125	48
51	-57	127	49
51	-56	150	50
50	-55	190	51
50	-54	221	52
50	-53	235	53
49	-52	248	54
49	-51	248	55
49	-50	240	56
48	-49	242	57
47	-48	246	58
46	-47	249	59
45	-46	249	60
44	-45	248	61
43	-44	250	62
42	-43	252	63
41	-42	253	64
40	-41	253	65
39	-40	251	66
38	-40	251	67
37	-39	250	68
36	-38	251	69
35	-37	252	70
34	-36	251	71
33	-36	251	72
32	-35	251	73
31	-34	250	74
30	-33	250	75
29	-32	251	76
28	-31	251	77
27	-30	252	78
26	-29	251	79
25	-28	252	80
25	-27	253	81
24	-26	254	82
23	-25	252	83
23	-24	252	84
22	-23	254	85
22	-22	254	86
22	-21	251	87
22	-20	248	88
22	-19	251	89
22	-18	252	90
22	-17	253	91
23	-16	254	92
23	-15	253	93
24	-14	251	94
25	-14	250	95
26	-14	249	96
27	-13	252	97
28	-13	253	98
29	-13	254	99
30	-13	254	100
31	-13	253	101
32	-14	251	102
33	-14	250	103
34	-14	251	104
35	-14	252	105
36	-14	253	106
37	-15	252	107
38	-15	252	108
39	-16	252	109
40	-17	252	110
41	-18	252	111
