x	y	intensity	time_series
6	-48	253	1
7	-48	252	2
8	-49	254	3
9	-49	254	4
10	-49	254	5
11	-49	254	6
12	-49	254	7
13	-50	254	8
14	-50	254	9
15	-51	253	10
16	-51	253	11
17	-51	253	12
18	-51	247	13
19	-51	242	14
20	-52	238	15
21	-52	238	16
22	-52	239	17
23	-52	240	18
24	-52	242	19
25	-53	245	20
26	-53	250	21
27	-53	246	22
28	-53	245	23
29	-53	247	24
30	-53	249	25
31	-53	252	26
32	-53	253	27
33	-53	253	28
34	-53	252	29
35	-53	250	30
36	-53	249	31
37	-53	252	32
38	-53	253	33
39	-53	252	34
40	-53	250	35
41	-52	251	36
42	-52	251	37
43	-51	251	38
44	-51	250	39
45	-50	248	40
45	-49	243	41
45	-48	238	42
45	-47	241	43
45	-46	243	44
45	-45	243	45
44	-44	242	46
43	-43	251	47
42	-42	248	48
41	-41	241	49
40	-40	239	50
39	-40	242	51
38	-40	245	52
37	-39	244	53
36	-39	244	54
35	-38	246	55
34	-38	244	56
33	-37	248	57
32	-36	250	58
31	-36	251	59
30	-35	251	60
29	-34	251	61
28	-34	248	62
27	-34	245	63
26	-33	248	64
25	-33	250	65
24	-33	252	66
23	-32	254	67
22	-31	253	68
21	-31	253	69
20	-31	253	70
19	-30	253	71
18	-29	253	72
17	-29	251	73
16	-28	252	74
16	-27	252	75
15	-26	251	76
14	-25	248	77
14	-24	248	78
14	-23	248	79
14	-22	251	80
13	-21	254	81
13	-20	254	82
14	-19	254	83
14	-18	253	84
15	-17	250	85
15	-16	251	86
16	-15	253	87
17	-14	253	88
18	-13	252	89
19	-13	253	90
20	-13	254	91
21	-13	254	92
22	-12	254	93
23	-12	254	94
24	-12	253	95
25	-11	251	96
26	-11	252	97
27	-11	253	98
28	-11	253	99
29	-11	252	100
30	-11	251	101
31	-11	251	102
32	-12	253	103
33	-12	253	104
34	-12	253	105
35	-12	252	106
36	-12	252	107
37	-12	254	108
38	-13	254	109
39	-13	254	110
40	-14	253	111
41	-14	253	112
