x	y	intensity	time_series
17	-44	254	1
16	-45	253	2
15	-45	254	3
14	-46	254	4
13	-47	253	5
12	-48	252	6
12	-49	251	7
12	-50	251	8
13	-51	251	9
13	-52	252	10
14	-53	253	11
15	-54	245	12
16	-55	248	13
17	-55	251	14
18	-56	247	15
19	-57	239	16
20	-57	239	17
21	-57	242	18
22	-57	244	19
23	-58	244	20
24	-58	243	21
25	-58	241	22
26	-59	233	23
27	-59	232	24
28	-59	232	25
29	-59	230	26
30	-60	216	27
31	-60	212	28
32	-60	208	29
33	-60	202	30
34	-60	195	31
35	-61	174	32
36	-61	171	33
37	-61	164	34
38	-61	162	35
39	-61	161	36
40	-62	148	37
41	-62	147	38
42	-62	145	39
43	-62	142	40
44	-63	148	41
45	-63	148	42
46	-63	149	43
47	-63	148	44
48	-63	150	45
49	-63	152	46
50	-63	155	47
51	-63	157	48
52	-63	159	49
53	-63	160	50
54	-63	159	51
55	-63	158	52
56	-63	157	53
57	-62	152	54
58	-62	154	55
59	-61	152	56
59	-60	156	57
59	-59	171	58
59	-58	205	59
58	-57	230	60
58	-56	244	61
57	-55	248	62
56	-54	247	63
55	-53	250	64
54	-52	252	65
53	-51	252	66
52	-51	252	67
51	-50	252	68
50	-50	251	69
49	-49	250	70
48	-49	249	71
47	-48	251	72
46	-48	252	73
45	-47	253	74
44	-46	252	75
43	-45	250	76
42	-44	248	77
41	-44	249	78
40	-43	251	79
39	-42	252	80
38	-41	253	81
37	-41	254	82
36	-40	251	83
35	-40	251	84
34	-39	251	85
33	-38	253	86
32	-38	253	87
31	-37	253	88
30	-37	253	89
29	-36	252	90
28	-35	252	91
27	-35	252	92
26	-34	253	93
25	-33	254	94
24	-32	253	95
23	-31	253	96
22	-30	253	97
21	-29	253	98
20	-28	252	99
20	-27	251	100
20	-26	250	101
19	-25	249	102
19	-24	249	103
19	-23	250	104
19	-22	252	105
19	-21	253	106
19	-20	253	107
19	-19	253	108
19	-18	254	109
20	-17	254	110
20	-16	253	111
20	-15	253	112
21	-14	252	113
22	-13	251	114
23	-12	248	115
24	-11	248	116
25	-10	251	117
26	-9	252	118
27	-9	253	119
28	-9	252	120
29	-9	249	121
30	-8	251	122
31	-8	250	123
32	-8	248	124
33	-8	247	125
34	-9	249	126
35	-9	249	127
36	-10	248	128
36	-11	248	129
36	-12	250	130
36	-13	251	131
36	-14	248	132
36	-15	246	133
36	-16	246	134
36	-17	248	135
36	-18	249	136
36	-19	248	137
36	-20	247	138
36	-21	247	139
36	-22	248	140
36	-23	252	141
36	-24	253	142
36	-25	252	143
