x	y	intensity	time_series
7	-58	136	1
8	-58	141	2
9	-57	200	3
10	-56	239	4
11	-56	243	5
12	-56	245	6
13	-56	246	7
14	-56	245	8
15	-56	245	9
16	-56	246	10
17	-56	246	11
18	-55	248	12
19	-55	248	13
20	-55	248	14
21	-55	248	15
22	-55	248	16
23	-55	246	17
24	-55	243	18
25	-55	243	19
26	-55	245	20
27	-54	249	21
28	-54	250	22
29	-54	249	23
30	-54	249	24
31	-54	249	25
32	-53	252	26
33	-53	252	27
34	-53	252	28
35	-53	252	29
36	-53	252	30
37	-53	252	31
38	-53	252	32
39	-53	252	33
40	-53	252	34
41	-52	252	35
42	-51	252	36
42	-50	253	37
41	-49	251	38
41	-48	251	39
40	-47	253	40
40	-46	252	41
39	-45	251	42
38	-44	252	43
37	-44	251	44
36	-43	252	45
35	-43	252	46
34	-42	252	47
33	-42	251	48
32	-42	251	49
31	-42	251	50
30	-42	249	51
29	-41	252	52
28	-41	253	53
27	-40	254	54
26	-40	253	55
25	-40	252	56
24	-39	251	57
23	-39	253	58
22	-39	254	59
21	-38	254	60
20	-37	251	61
19	-37	252	62
18	-36	254	63
17	-36	254	64
16	-36	254	65
15	-35	252	66
14	-34	250	67
13	-34	251	68
12	-33	250	69
11	-32	250	70
10	-31	251	71
9	-30	249	72
8	-29	248	73
8	-28	248	74
8	-27	249	75
8	-26	251	76
8	-25	249	77
8	-24	250	78
8	-23	252	79
8	-22	253	80
9	-21	254	81
10	-20	253	82
10	-19	251	83
11	-18	249	84
12	-18	250	85
13	-17	249	86
14	-16	249	87
15	-16	250	88
16	-15	252	89
17	-15	251	90
18	-15	250	91
19	-15	250	92
20	-15	252	93
21	-15	253	94
22	-15	253	95
23	-15	252	96
24	-15	251	97
25	-15	251	98
26	-15	250	99
27	-15	250	100
28	-15	251	101
29	-15	251	102
30	-15	252	103
31	-15	253	104
32	-15	252	105
33	-16	251	106
34	-17	252	107
35	-17	252	108
36	-18	251	109
37	-19	250	110
